yr,r,s,value
2010,AK,ppd,1.9536106276418144e-5
2003,AK,ppd,7.838833581563064e-6
2011,AK,ppd,2.048646031213916e-5
2001,AK,ppd,1.308354967917267e-5
2008,WV,ppd,0.0009614448920807302
2009,WV,ppd,0.0008857156835784939
2005,WV,ppd,0.0009516330564829035
2006,WV,ppd,0.0009191224019272254
2012,WV,ppd,0.0009664024160060402
2014,WV,ppd,0.001087650146841584
2013,WV,ppd,0.0010796202151782527
1999,WV,ppd,0.0009497747652928051
2002,WV,ppd,0.000918336425250741
2017,WV,ppd,0.0007244517833076193
2016,WV,ppd,0.0008007684627823096
2015,WV,ppd,0.0009080636048107194
1998,WV,ppd,0.0008969316344743999
2004,WV,ppd,0.0009555553027631474
2000,WV,ppd,0.0008795682879452514
1997,WV,ppd,0.000895809741569726
2007,WV,ppd,0.0008416753107379106
2010,WV,ppd,0.000925301033637623
2003,WV,ppd,0.0009778944892999922
2011,WV,ppd,0.0009237531195291839
2001,WV,ppd,0.0009644445192075856
2008,AZ,ppd,0.004396566824312489
2009,AZ,ppd,0.003541175656821445
2005,AZ,ppd,0.005259126586538647
2006,AZ,ppd,0.004531808015506095
2012,AZ,ppd,0.004556436391090979
2014,AZ,ppd,0.003363430275808334
2013,AZ,ppd,0.003475027567605001
1999,AZ,ppd,0.004376710310276596
2002,AZ,ppd,0.0037361695208390304
2017,AZ,ppd,0.004393682635920523
2016,AZ,ppd,0.004247853304716457
2015,AZ,ppd,0.0034001937202356933
1998,AZ,ppd,0.004593865417288044
2004,AZ,ppd,0.004364460926509455
2000,AZ,ppd,0.0043865855384179996
1997,AZ,ppd,0.004399581714644864
2007,AZ,ppd,0.004463212148838345
2010,AZ,ppd,0.0041825027528149756
2003,AZ,ppd,0.0038527867053382457
2011,AZ,ppd,0.004374790479383171
2001,AZ,ppd,0.0037867530928576906
2008,NH,ppd,0.001955975944415251
2009,NH,ppd,0.0017157578099034824
2005,NH,ppd,0.003469979071809612
2006,NH,ppd,0.0025435376038323784
2012,NH,ppd,0.0017629294073235188
2014,NH,ppd,0.0014225829311201915
2013,NH,ppd,0.0018289618776868427
1999,NH,ppd,0.006084284090430683
2002,NH,ppd,0.0038008411000820404
2017,NH,ppd,0.0016476309884701965
2016,NH,ppd,0.0016702724159321995
2015,NH,ppd,0.0014730809589151668
1998,NH,ppd,0.005535554119350986
2004,NH,ppd,0.003797573951259096
2000,NH,ppd,0.005923820059945714
1997,NH,ppd,0.006704124517554077
2007,NH,ppd,0.0021966110455078946
2010,NH,ppd,0.0017031932653713638
2003,NH,ppd,0.00391549737399075
2011,NH,ppd,0.0015253100905129066
2001,NH,ppd,0.005139965945389264
2008,OK,ppd,0.009530760397812421
2009,OK,ppd,0.011266303495118441
2005,OK,ppd,0.010083055128954015
2006,OK,ppd,0.010448335146861274
2012,OK,ppd,0.012091355228388074
2014,OK,ppd,0.01363000151601155
2013,OK,ppd,0.01315609568134157
1999,OK,ppd,0.007604934113585653
2002,OK,ppd,0.008457194805578756
2017,OK,ppd,0.012684229353124177
2016,OK,ppd,0.012953203159770492
2015,OK,ppd,0.013111429493905888
1998,OK,ppd,0.006079800061227669
2004,OK,ppd,0.009820985056176793
2000,OK,ppd,0.007617029213887853
1997,OK,ppd,0.006900985932536135
2007,OK,ppd,0.01046620556977291
2010,OK,ppd,0.010767946577629382
2003,OK,ppd,0.008975464450889708
2011,OK,ppd,0.009930346034938727
2001,OK,ppd,0.00816787315685494
2008,NE,ppd,0.0023510636227399235
2009,NE,ppd,0.0023079220097816755
2005,NE,ppd,0.002404227417089937
2006,NE,ppd,0.00217450909724246
2012,NE,ppd,0.002408456021140053
2014,NE,ppd,0.0025349123357507257
2013,NE,ppd,0.0022586791343860817
1999,NE,ppd,0.0020561613269902746
2002,NE,ppd,0.0021858993784137355
2017,NE,ppd,0.0024407340629640736
2016,NE,ppd,0.002266552794870958
2015,NE,ppd,0.002508946108106654
1998,NE,ppd,0.0022629173372767297
2004,NE,ppd,0.0024154314597624005
2000,NE,ppd,0.002503634048136666
1997,NE,ppd,0.001939717061382834
2007,NE,ppd,0.002394018900904846
2010,NE,ppd,0.0029712641636770506
2003,NE,ppd,0.0022125107783961748
2011,NE,ppd,0.0028941781204603867
2001,NE,ppd,0.002313919214687967
2008,KY,ppd,0.024814620190342734
2009,KY,ppd,0.027698438272365164
2005,KY,ppd,0.022295679353817946
2006,KY,ppd,0.024745603128809916
2012,KY,ppd,0.025305775764439417
2014,KY,ppd,0.027801183899252215
2013,KY,ppd,0.023746317660491404
1999,KY,ppd,0.01841956805456153
2002,KY,ppd,0.025293978521644656
2017,KY,ppd,0.026649347270749853
2016,KY,ppd,0.02776398294672484
2015,KY,ppd,0.024753141227432943
1998,KY,ppd,0.018674438880643643
2004,KY,ppd,0.022557930540230017
2000,KY,ppd,0.021228629867373325
1997,KY,ppd,0.01748635064088324
2007,KY,ppd,0.0241411860981799
2010,KY,ppd,0.024929847618371043
2003,KY,ppd,0.0249157325389982
2011,KY,ppd,0.022916899467352033
2001,KY,ppd,0.023447590103603026
2008,NM,ppd,0.0016835016835016834
2009,NM,ppd,0.0014626961860239127
2005,NM,ppd,0.0011392517688382728
2006,NM,ppd,0.0013398838767306833
2012,NM,ppd,0.001264628161570404
2014,NM,ppd,0.0014384481682702306
2013,NM,ppd,0.001381487709553751
1999,NM,ppd,0.0005893992337809961
2002,NM,ppd,0.0005210681527579656
2017,NM,ppd,0.0018915237334740085
2016,NM,ppd,0.0018300824310368234
2015,NM,ppd,0.0015992009040277668
1998,NM,ppd,0.0005675196170227241
2004,NM,ppd,0.0008816135233826658
2000,NM,ppd,0.0005692270090175849
1997,NM,ppd,0.0005490446803169288
2007,NM,ppd,0.0017228321925552115
2010,NM,ppd,0.0013728554683337477
2003,NM,ppd,0.0006839382299913772
2011,NM,ppd,0.0013036838380452193
2001,NM,ppd,0.0005308183012692913
2008,IL,ppd,0.035880967672875186
2009,IL,ppd,0.03982346421118161
2005,IL,ppd,0.034488961443387506
2006,IL,ppd,0.03607857203212272
2012,IL,ppd,0.034881087202718014
2014,IL,ppd,0.034066189769389965
2013,IL,ppd,0.03735521458339622
1999,IL,ppd,0.036227844903801626
2002,IL,ppd,0.03599065772843849
2017,IL,ppd,0.03726861804950842
2016,IL,ppd,0.036438401831113465
2015,IL,ppd,0.0371145774477359
1998,IL,ppd,0.04037803609567987
2004,IL,ppd,0.035128033034911896
2000,IL,ppd,0.0327418089198194
1997,IL,ppd,0.04183575978572809
2007,IL,ppd,0.03710908758089236
2010,IL,ppd,0.03616488473697297
2003,IL,ppd,0.0347848240181861
2011,IL,ppd,0.03907885424814691
2001,IL,ppd,0.035228392050435216
2008,NC,ppd,0.02927152060100037
2009,NC,ppd,0.030812783323576405
2005,NC,ppd,0.031053798215107755
2006,NC,ppd,0.03071558766065242
2012,NC,ppd,0.03276330690826727
2014,NC,ppd,0.03357084180948318
2013,NC,ppd,0.03324093820417252
1999,NC,ppd,0.02917694606997011
2002,NC,ppd,0.030744868772126916
2017,NC,ppd,0.03659475142812752
2016,NC,ppd,0.036295775688600734
2015,NC,ppd,0.036605052869481
1998,NC,ppd,0.03126012628654191
2004,NC,ppd,0.028154754456414167
2000,NC,ppd,0.029514581216151897
1997,NC,ppd,0.03011979649225468
2007,NC,ppd,0.03395415112827563
2010,NC,ppd,0.029218910950875573
2003,NC,ppd,0.027339891824096574
2011,NC,ppd,0.031819197675717954
2001,NC,ppd,0.02852026922207083
2008,VA,ppd,0.024051692259784745
2009,VA,ppd,0.019742180817591496
2005,VA,ppd,0.023504562809715943
2006,VA,ppd,0.024971503756675704
2012,VA,ppd,0.021459041147602873
2014,VA,ppd,0.017659771752121533
2013,VA,ppd,0.020988669314814058
1999,VA,ppd,0.022848482296973012
2002,VA,ppd,0.024436618156823034
2017,VA,ppd,0.020174446544130135
2016,VA,ppd,0.01994188414289421
2015,VA,ppd,0.018665751876664787
1998,VA,ppd,0.024433778337937345
2004,VA,ppd,0.024861501359391174
2000,VA,ppd,0.025070108185291432
1997,VA,ppd,0.02434037880470806
2007,VA,ppd,0.023794825042801615
2010,VA,ppd,0.0205732959187298
2003,VA,ppd,0.02343811240887356
2011,VA,ppd,0.017538272432674043
2001,VA,ppd,0.02624186249936919
2008,CT,ppd,0.010642066133395613
2009,CT,ppd,0.009655144489751848
2005,CT,ppd,0.012419585072513666
2006,CT,ppd,0.011381253006978778
2012,CT,ppd,0.008210645526613818
2014,CT,ppd,0.008313384266620599
2013,CT,ppd,0.009689946569453496
1999,CT,ppd,0.016092283080031997
2002,CT,ppd,0.013407342256779428
2017,CT,ppd,0.0054902966819747
2016,CT,ppd,0.005363086635930447
2015,CT,ppd,0.007082896117523611
1998,CT,ppd,0.015768810052795436
2004,CT,ppd,0.013491530822346344
2000,CT,ppd,0.013936413805523754
1997,CT,ppd,0.016032465878859793
2007,CT,ppd,0.010611569536019754
2010,CT,ppd,0.006752388732994707
2003,CT,ppd,0.01584032295994356
2011,CT,ppd,0.008920922263195142
2001,CT,ppd,0.014715255232018063
2008,MI,ppd,0.02186216694887215
2009,MI,ppd,0.021707626096389487
2005,MI,ppd,0.026616712378579745
2006,MI,ppd,0.025507802193822735
2012,MI,ppd,0.024705549263873163
2014,MI,ppd,0.024189198241426603
2013,MI,ppd,0.02683246886769503
1999,MI,ppd,0.0307700079989896
2002,MI,ppd,0.02620677166867456
2017,MI,ppd,0.025605124999548347
2016,MI,ppd,0.024490455217968832
2015,MI,ppd,0.023261562676567926
1998,MI,ppd,0.030395419740731257
2004,MI,ppd,0.028139586911925862
2000,MI,ppd,0.02947759754042477
1997,MI,ppd,0.029857916628287722
2007,MI,ppd,0.02303570210795697
2010,MI,ppd,0.024027634710332826
2003,MI,ppd,0.026593242925452693
2011,MI,ppd,0.021136439825678848
2001,MI,ppd,0.02531293047214793
2008,DE,ppd,0.004017049103754306
2009,DE,ppd,0.003445012239747208
2005,DE,ppd,0.005090850009477646
2006,DE,ppd,0.00407138459840559
2012,DE,ppd,0.0024197810494526236
2014,DE,ppd,0.0021523838400219998
2013,DE,ppd,0.002155689048069735
1999,DE,ppd,0.006973434934534586
2002,DE,ppd,0.007612768756605739
2017,DE,ppd,0.0036674242396869503
2016,DE,ppd,0.003318205797494935
2015,DE,ppd,0.00294952511636667
1998,DE,ppd,0.005249108886784312
2004,DE,ppd,0.006806435589126388
2000,DE,ppd,0.0071957369077787926
1997,DE,ppd,0.005754132735163603
2007,DE,ppd,0.004739583146394077
2010,DE,ppd,0.0030724967143821265
2003,DE,ppd,0.006369052285019989
2011,DE,ppd,0.0025216970238760386
2001,DE,ppd,0.005253979735450626
2008,HI,ppd,0.0002530118137054553
2009,HI,ppd,0.00010628588202941926
2005,HI,ppd,0.000255316185885657
2006,HI,ppd,0.0002534915442463455
2012,HI,ppd,5.473763684409212e-5
2014,HI,ppd,8.637740226132514e-5
2013,HI,ppd,4.4392278584632106e-5
1999,HI,ppd,0.00021555171978276429
2002,HI,ppd,0.00019955801594985918
2017,HI,ppd,0.00013368935652060805
2016,HI,ppd,0.00013575259347597095
2015,HI,ppd,0.0001244383458444319
1998,HI,ppd,0.00020230194550021396
2004,HI,ppd,0.0002540563701790908
2000,HI,ppd,0.00019456629404273384
1997,HI,ppd,0.00022756457144714812
2007,HI,ppd,0.0002512463614143017
2010,HI,ppd,9.590452172059817e-5
2003,HI,ppd,0.00024104413263306422
2011,HI,ppd,9.125786866316535e-5
2001,HI,ppd,0.00019999140223878227
2008,GA,ppd,0.06435258169362215
2009,GA,ppd,0.0638575701697706
2005,GA,ppd,0.06447894221730502
2006,GA,ppd,0.0626606955325133
2012,GA,ppd,0.06660060400151001
2014,GA,ppd,0.07017723232700722
2013,GA,ppd,0.06623150395712772
1999,GA,ppd,0.06392287290026523
2002,GA,ppd,0.06959401030310644
2017,GA,ppd,0.07361225028092831
2016,GA,ppd,0.07320845240325051
2015,GA,ppd,0.07304362741141336
1998,GA,ppd,0.06359084162980176
2004,GA,ppd,0.06908626920116336
2000,GA,ppd,0.06383704027683086
1997,GA,ppd,0.06460847154268913
2007,GA,ppd,0.06470132191478442
2010,GA,ppd,0.061362909814229386
2003,GA,ppd,0.06874265109351729
2011,GA,ppd,0.06857190747569561
2001,GA,ppd,0.06853163321950645
2008,CA,ppd,0.049580584262665185
2009,CA,ppd,0.05205477603202748
2005,CA,ppd,0.04343276480350325
2006,CA,ppd,0.05269175255776416
2012,CA,ppd,0.045764439411098534
2014,CA,ppd,0.04465887977323288
2013,CA,ppd,0.04579685027904986
1999,CA,ppd,0.049733507346440456
2002,CA,ppd,0.048108263919171605
2017,CA,ppd,0.04883274738854102
2016,CA,ppd,0.049501581775472085
2015,CA,ppd,0.04850573089030592
1998,CA,ppd,0.04732970383353235
2004,CA,ppd,0.044524326845416184
2000,CA,ppd,0.0487332287070507
1997,CA,ppd,0.04709683594942286
2007,CA,ppd,0.0512524631116503
2010,CA,ppd,0.05110290199978688
2003,CA,ppd,0.044459904366230305
2011,CA,ppd,0.053376541140537116
2001,CA,ppd,0.04667275986266011
2008,ME,ppd,0.023475603822424633
