yr,r,s,value
2002,NH,ppd,0.0
2017,NH,ppd,0.0
2016,NH,ppd,0.0
2015,NH,ppd,0.0
1998,NH,ppd,0.0
2004,NH,ppd,0.0
2000,NH,ppd,0.0
1997,NH,ppd,0.0
2007,NH,ppd,0.0
2010,NH,ppd,0.0
2003,NH,ppd,0.0
2011,NH,ppd,0.0
2001,NH,ppd,0.0
2008,OK,ppd,0.0
2009,OK,ppd,0.0
2005,OK,ppd,0.0
2006,OK,ppd,0.0
2012,OK,ppd,0.0
2014,OK,ppd,0.0
2013,OK,ppd,0.0
1999,OK,ppd,0.0
2002,OK,ppd,0.0
2017,OK,ppd,0.0
2016,OK,ppd,0.0
2015,OK,ppd,0.0
1998,OK,ppd,0.0
2004,OK,ppd,0.0
2000,OK,ppd,0.0
1997,OK,ppd,0.0
2007,OK,ppd,0.0
2010,OK,ppd,0.0
2003,OK,ppd,0.0
2011,OK,ppd,0.0
2001,OK,ppd,0.0
2008,NE,ppd,0.0
2009,NE,ppd,0.0
2005,NE,ppd,0.0
2006,NE,ppd,0.0
2012,NE,ppd,0.0
2014,NE,ppd,0.0
2013,NE,ppd,0.0
1999,NE,ppd,0.0
2002,NE,ppd,0.0
2017,NE,ppd,0.0
2016,NE,ppd,0.0
2015,NE,ppd,0.0
1998,NE,ppd,0.0
2004,NE,ppd,0.0
2000,NE,ppd,0.0
1997,NE,ppd,0.0
2007,NE,ppd,0.0
2010,NE,ppd,0.0
2003,NE,ppd,0.0
2011,NE,ppd,0.0
2001,NE,ppd,0.0
2008,KY,ppd,0.0
2009,KY,ppd,0.0
2005,KY,ppd,0.0
2006,KY,ppd,0.0
2012,KY,ppd,0.0
2014,KY,ppd,0.0
2013,KY,ppd,0.0
1999,KY,ppd,0.0
2002,KY,ppd,0.0
2017,KY,ppd,0.0
2016,KY,ppd,0.0
2015,KY,ppd,0.0
1998,KY,ppd,0.0
2004,KY,ppd,0.0
2000,KY,ppd,0.0
1997,KY,ppd,0.0
2007,KY,ppd,0.0
2010,KY,ppd,0.0
2003,KY,ppd,0.0
2011,KY,ppd,0.0
2001,KY,ppd,0.0
2008,NM,ppd,0.0
2009,NM,ppd,0.0
2005,NM,ppd,0.0
2006,NM,ppd,0.0
2012,NM,ppd,0.0
2014,NM,ppd,0.0
2013,NM,ppd,0.0
1999,NM,ppd,0.0
2002,NM,ppd,0.0
2017,NM,ppd,0.0
2016,NM,ppd,0.0
2015,NM,ppd,0.0
1998,NM,ppd,0.0
2004,NM,ppd,0.0
2000,NM,ppd,0.0
1997,NM,ppd,0.0
2007,NM,ppd,0.0
2010,NM,ppd,0.0
2003,NM,ppd,0.0
2011,NM,ppd,0.0
2001,NM,ppd,0.0
2008,IL,ppd,0.0
2009,IL,ppd,0.0
2005,IL,ppd,0.0
2006,IL,ppd,0.0
2012,IL,ppd,0.0
2014,IL,ppd,0.0
2013,IL,ppd,0.0
1999,IL,ppd,0.0
2002,IL,ppd,0.0
2017,IL,ppd,0.0
2016,IL,ppd,0.0
2015,IL,ppd,0.0
1998,IL,ppd,0.0
2004,IL,ppd,0.0
2000,IL,ppd,0.0
1997,IL,ppd,0.0
2007,IL,ppd,0.0
2010,IL,ppd,0.0
2003,IL,ppd,0.0
2011,IL,ppd,0.0
2001,IL,ppd,0.0
2008,NC,ppd,0.0
2009,NC,ppd,0.0
2005,NC,ppd,0.0
2006,NC,ppd,0.0
2012,NC,ppd,0.0
2014,NC,ppd,0.0
2013,NC,ppd,0.0
1999,NC,ppd,0.0
2002,NC,ppd,0.0
2017,NC,ppd,0.0
2016,NC,ppd,0.0
2015,NC,ppd,0.0
1998,NC,ppd,0.0
2004,NC,ppd,0.0
2000,NC,ppd,0.0
1997,NC,ppd,0.0
2007,NC,ppd,0.0
2010,NC,ppd,0.0
2003,NC,ppd,0.0
2011,NC,ppd,0.0
2001,NC,ppd,0.0
2008,VA,ppd,0.0
2009,VA,ppd,0.0
2005,VA,ppd,0.0
2006,VA,ppd,0.0
2012,VA,ppd,0.0
2014,VA,ppd,0.0
2013,VA,ppd,0.0
1999,VA,ppd,0.0
2002,VA,ppd,0.0
2017,VA,ppd,0.0
2016,VA,ppd,0.0
2015,VA,ppd,0.0
1998,VA,ppd,0.0
2004,VA,ppd,0.0
2000,VA,ppd,0.0
1997,VA,ppd,0.0
2007,VA,ppd,0.0
2010,VA,ppd,0.0
2003,VA,ppd,0.0
2011,VA,ppd,0.0
2001,VA,ppd,0.0
2008,CT,ppd,0.0
2009,CT,ppd,0.0
2005,CT,ppd,0.0
2006,CT,ppd,0.0
2012,CT,ppd,0.0
2014,CT,ppd,0.0
2013,CT,ppd,0.0
1999,CT,ppd,0.0
2002,CT,ppd,0.0
2017,CT,ppd,0.0
2016,CT,ppd,0.0
2015,CT,ppd,0.0
1998,CT,ppd,0.0
2004,CT,ppd,0.0
2000,CT,ppd,0.0
1997,CT,ppd,0.0
2007,CT,ppd,0.0
2010,CT,ppd,0.0
2003,CT,ppd,0.0
2011,CT,ppd,0.0
2001,CT,ppd,0.0
2008,MI,ppd,0.0
2009,MI,ppd,0.0
2005,MI,ppd,0.0
2006,MI,ppd,0.0
2012,MI,ppd,0.0
2014,MI,ppd,0.0
2013,MI,ppd,0.0
1999,MI,ppd,0.0
2002,MI,ppd,0.0
2017,MI,ppd,0.0
2016,MI,ppd,0.0
2015,MI,ppd,0.0
1998,MI,ppd,0.0
2004,MI,ppd,0.0
2000,MI,ppd,0.0
1997,MI,ppd,0.0
2007,MI,ppd,0.0
2010,MI,ppd,0.0
2003,MI,ppd,0.0
2011,MI,ppd,0.0
2001,MI,ppd,0.0
2008,DE,ppd,0.6299009221127914
2009,DE,ppd,0.0
2005,DE,ppd,0.0
2006,DE,ppd,0.0
2012,DE,ppd,0.0
2014,DE,ppd,0.0
2013,DE,ppd,0.0
1999,DE,ppd,0.0
2002,DE,ppd,0.0
2017,DE,ppd,0.0
2016,DE,ppd,0.0
2015,DE,ppd,0.0
1998,DE,ppd,0.0
2004,DE,ppd,0.0
2000,DE,ppd,0.0
1997,DE,ppd,0.0
2007,DE,ppd,0.0
2010,DE,ppd,0.0
2003,DE,ppd,0.0
2011,DE,ppd,0.0
2001,DE,ppd,0.0
2008,HI,ppd,0.0
2009,HI,ppd,0.0
2005,HI,ppd,0.0
2006,HI,ppd,0.0
2012,HI,ppd,0.0
2014,HI,ppd,0.0
2013,HI,ppd,0.0
1999,HI,ppd,0.5671036204493723
2002,HI,ppd,0.0
2017,HI,ppd,0.0
2016,HI,ppd,0.0
2015,HI,ppd,0.0
1998,HI,ppd,0.5891056189383417
2004,HI,ppd,0.0
2000,HI,ppd,0.5498560889206513
1997,HI,ppd,0.0
2007,HI,ppd,0.0
2010,HI,ppd,0.0
2003,HI,ppd,0.0
2011,HI,ppd,0.0
2001,HI,ppd,0.0
2008,GA,ppd,0.0
2009,GA,ppd,0.0
2005,GA,ppd,0.0
2006,GA,ppd,0.0
2012,GA,ppd,0.0
2014,GA,ppd,0.0
2013,GA,ppd,0.0
1999,GA,ppd,0.0
2002,GA,ppd,0.0
2017,GA,ppd,0.0
2016,GA,ppd,0.0
2015,GA,ppd,0.0
1998,GA,ppd,0.0
2004,GA,ppd,0.0
2000,GA,ppd,0.0
1997,GA,ppd,0.0
2007,GA,ppd,0.0
2010,GA,ppd,0.0
2003,GA,ppd,0.0
2011,GA,ppd,0.0
2001,GA,ppd,0.0
2008,CA,ppd,0.0
2009,CA,ppd,0.0
2005,CA,ppd,0.0
2006,CA,ppd,0.0
2012,CA,ppd,0.0
2014,CA,ppd,0.0
2013,CA,ppd,0.0
1999,CA,ppd,0.0
2002,CA,ppd,0.0
2017,CA,ppd,0.0
2016,CA,ppd,0.0
2015,CA,ppd,0.0
1998,CA,ppd,0.0
2004,CA,ppd,0.0
2000,CA,ppd,0.0
1997,CA,ppd,0.0
2007,CA,ppd,0.0
2010,CA,ppd,0.0
2003,CA,ppd,0.0
2011,CA,ppd,0.0
2001,CA,ppd,0.0
2008,ME,ppd,0.0
2009,ME,ppd,0.0
2005,ME,ppd,0.0
2006,ME,ppd,0.0
2012,ME,ppd,0.0
2014,ME,ppd,0.0
2013,ME,ppd,0.0
1999,ME,ppd,0.0
2002,ME,ppd,0.0
2017,ME,ppd,0.0
2016,ME,ppd,0.0
2015,ME,ppd,0.0
1998,ME,ppd,0.0
2004,ME,ppd,0.0
2000,ME,ppd,0.0
1997,ME,ppd,0.0
2007,ME,ppd,0.0
2010,ME,ppd,0.0
2003,ME,ppd,0.0
2011,ME,ppd,0.0
2001,ME,ppd,0.0
2008,MA,ppd,0.0
2009,MA,ppd,0.0
2005,MA,ppd,0.0
2006,MA,ppd,0.0
2012,MA,ppd,0.0
2014,MA,ppd,0.0
2013,MA,ppd,0.0
1999,MA,ppd,0.0
2002,MA,ppd,0.0
2017,MA,ppd,0.0
2016,MA,ppd,0.0
2015,MA,ppd,0.0
1998,MA,ppd,0.0
2004,MA,ppd,0.0
2000,MA,ppd,0.0
1997,MA,ppd,0.0
2007,MA,ppd,0.0
2010,MA,ppd,0.0
2003,MA,ppd,0.0
2011,MA,ppd,0.0
2001,MA,ppd,0.0
2008,MS,ppd,0.0
2009,MS,ppd,0.0
2005,MS,ppd,0.0
2006,MS,ppd,0.0
2012,MS,ppd,0.0
2014,MS,ppd,0.0
2013,MS,ppd,0.0
1999,MS,ppd,0.0
2002,MS,ppd,0.0
2017,MS,ppd,0.0
2016,MS,ppd,0.0
2015,MS,ppd,0.0
1998,MS,ppd,0.0
2004,MS,ppd,0.0
2000,MS,ppd,0.0
1997,MS,ppd,0.0
2007,MS,ppd,0.0
2010,MS,ppd,0.0
2003,MS,ppd,0.0
2011,MS,ppd,0.0
2001,MS,ppd,0.0
2008,WA,ppd,0.0
2009,WA,ppd,0.0
2005,WA,ppd,0.0
2006,WA,ppd,0.0
2012,WA,ppd,0.0
2014,WA,ppd,0.0
2013,WA,ppd,0.0
1999,WA,ppd,0.0
2002,WA,ppd,0.0
2017,WA,ppd,0.0
2016,WA,ppd,0.0
2015,WA,ppd,0.0
1998,WA,ppd,0.0
2004,WA,ppd,0.0
2000,WA,ppd,0.0
1997,WA,ppd,0.0
2007,WA,ppd,0.0
2010,WA,ppd,0.0
2003,WA,ppd,0.0
2011,WA,ppd,0.0
2001,WA,ppd,0.0
2008,TX,ppd,0.0
2009,TX,ppd,0.0
2005,TX,ppd,0.0
2006,TX,ppd,0.0
2012,TX,ppd,0.0
2014,TX,ppd,0.0
2013,TX,ppd,0.0
1999,TX,ppd,0.0
2002,TX,ppd,0.0
2017,TX,ppd,0.0
2016,TX,ppd,0.0
2015,TX,ppd,0.0
1998,TX,ppd,0.0
2004,TX,ppd,0.0
2000,TX,ppd,0.0
1997,TX,ppd,0.0
2007,TX,ppd,0.0
2010,TX,ppd,0.0
2003,TX,ppd,0.0
2011,TX,ppd,0.0
2001,TX,ppd,0.0
2008,AL,ppd,0.0
2009,AL,ppd,0.0
2005,AL,ppd,0.0
2006,AL,ppd,0.0
2012,AL,ppd,0.0
2014,AL,ppd,0.0
2013,AL,ppd,0.0
1999,AL,ppd,0.0
2002,AL,ppd,0.0
2017,AL,ppd,0.0
2016,AL,ppd,0.0
2015,AL,ppd,0.0
1998,AL,ppd,0.0
2004,AL,ppd,0.0
2000,AL,ppd,0.0
1997,AL,ppd,0.0
2007,AL,ppd,0.0
2010,AL,ppd,0.0
2003,AL,ppd,0.0
2011,AL,ppd,0.0
2001,AL,ppd,0.0
2008,NV,ppd,0.0
2009,NV,ppd,0.0
2005,NV,ppd,0.0
2006,NV,ppd,0.0
2012,NV,ppd,0.0
2014,NV,ppd,0.0
2013,NV,ppd,0.0
1999,NV,ppd,0.0
2002,NV,ppd,0.0
2017,NV,ppd,0.0
2016,NV,ppd,0.0
2015,NV,ppd,0.0
1998,NV,ppd,0.0
2004,NV,ppd,0.0
2000,NV,ppd,0.0
1997,NV,ppd,0.0
2007,NV,ppd,0.0
2010,NV,ppd,0.0
2003,NV,ppd,0.0
2011,NV,ppd,0.0
2001,NV,ppd,0.0
2008,SD,ppd,0.0
2009,SD,ppd,0.0
2005,SD,ppd,0.0
2006,SD,ppd,0.0
2012,SD,ppd,0.0
2014,SD,ppd,0.0
2013,SD,ppd,0.0
1999,SD,ppd,0.0
2002,SD,ppd,0.0
2017,SD,ppd,0.0
2016,SD,ppd,0.0
2015,SD,ppd,0.0
1998,SD,ppd,0.0
2004,SD,ppd,0.0
2000,SD,ppd,0.0
1997,SD,ppd,0.0
2007,SD,ppd,0.0
2010,SD,ppd,0.0
2003,SD,ppd,0.0
2011,SD,ppd,0.0
2001,SD,ppd,0.0
2008,MN,ppd,0.0
2009,MN,ppd,0.0
2005,MN,ppd,0.0
2006,MN,ppd,0.0
2012,MN,ppd,0.0
2014,MN,ppd,0.0
2013,MN,ppd,0.0
1999,MN,ppd,0.0
2002,MN,ppd,0.0
2017,MN,ppd,0.0
2016,MN,ppd,0.0
2015,MN,ppd,0.0
1998,MN,ppd,0.0
2004,MN,ppd,0.0
2000,MN,ppd,0.0
1997,MN,ppd,0.0
2007,MN,ppd,0.0
2010,MN,ppd,0.0
2003,MN,ppd,0.0
2011,MN,ppd,0.0
2001,MN,ppd,0.0
2008,VT,ppd,0.0
2009,VT,ppd,0.0
2005,VT,ppd,0.0
2006,VT,ppd,0.0
2012,VT,ppd,0.0
2014,VT,ppd,0.0
2013,VT,ppd,0.0
1999,VT,ppd,0.0
2002,VT,ppd,0.0
2017,VT,ppd,0.0
2016,VT,ppd,0.0
2015,VT,ppd,0.0
1998,VT,ppd,0.0
2004,VT,ppd,0.0
2000,VT,ppd,0.0
1997,VT,ppd,0.0
2007,VT,ppd,0.0
2010,VT,ppd,0.0
2003,VT,ppd,0.0
2011,VT,ppd,0.0
2001,VT,ppd,0.0
2008,MO,ppd,0.0
2009,MO,ppd,0.0
2005,MO,ppd,0.0
2006,MO,ppd,0.0
2012,MO,ppd,0.0
2014,MO,ppd,0.0
2013,MO,ppd,0.0
1999,MO,ppd,0.0
2002,MO,ppd,0.0
2017,MO,ppd,0.0
2016,MO,ppd,0.0
2015,MO,ppd,0.0
1998,MO,ppd,0.0
2004,MO,ppd,0.0
2000,MO,ppd,0.0
1997,MO,ppd,0.0
2007,MO,ppd,0.0
2010,MO,ppd,0.0
2003,MO,ppd,0.0
2011,MO,ppd,0.0
2001,MO,ppd,0.0
2008,IN,ppd,0.0
2009,IN,ppd,0.0
2005,IN,ppd,0.0
2006,IN,ppd,0.0
2012,IN,ppd,0.0
2014,IN,ppd,0.0
2013,IN,ppd,0.0
1999,IN,ppd,0.0
2002,IN,ppd,0.0
2017,IN,ppd,0.0
2016,IN,ppd,0.0
2015,IN,ppd,0.0
1998,IN,ppd,0.0
2004,IN,ppd,0.0
2000,IN,ppd,0.0
1997,IN,ppd,0.0
2007,IN,ppd,0.0
2010,IN,ppd,0.0
2003,IN,ppd,0.0
2011,IN,ppd,0.0
2001,IN,ppd,0.0
2008,LA,ppd,0.0
2009,LA,ppd,0.0
2005,LA,ppd,0.0
2006,LA,ppd,0.0
2012,LA,ppd,0.0
2014,LA,ppd,0.0
2013,LA,ppd,0.0
1999,LA,ppd,0.0
2002,LA,ppd,0.0
2017,LA,ppd,0.0
2016,LA,ppd,0.0
2015,LA,ppd,0.0
1998,LA,ppd,0.0
2004,LA,ppd,0.0
2000,LA,ppd,0.0
1997,LA,ppd,0.0
2007,LA,ppd,0.0
2010,LA,ppd,0.0
2003,LA,ppd,0.0
2011,LA,ppd,0.0
2001,LA,ppd,0.0
2008,KS,ppd,0.0
2009,KS,ppd,0.0
2005,KS,ppd,0.0
2006,KS,ppd,0.0
2012,KS,ppd,0.0
2014,KS,ppd,0.0
2013,KS,ppd,0.0
1999,KS,ppd,0.0
2002,KS,ppd,0.0
2017,KS,ppd,0.0
2016,KS,ppd,0.0
2015,KS,ppd,0.0
1998,KS,ppd,0.0
2004,KS,ppd,0.0
2000,KS,ppd,0.0
1997,KS,ppd,0.0
2007,KS,ppd,0.0
2010,KS,ppd,0.0
2003,KS,ppd,0.0
2011,KS,ppd,0.0
2001,KS,ppd,0.0
2008,AR,ppd,0.0
2009,AR,ppd,0.0
2005,AR,ppd,0.0
2006,AR,ppd,0.0
2012,AR,ppd,0.0
2014,AR,ppd,0.0
2013,AR,ppd,0.0
1999,AR,ppd,0.0
2002,AR,ppd,0.0
2017,AR,ppd,0.0
2016,AR,ppd,0.0
2015,AR,ppd,0.0
1998,AR,ppd,0.0
2004,AR,ppd,0.0
2000,AR,ppd,0.0
1997,AR,ppd,0.0
2007,AR,ppd,0.0
2010,AR,ppd,0.0
2003,AR,ppd,0.0
2011,AR,ppd,0.0
2001,AR,ppd,0.0
2008,NY,ppd,0.0
2009,NY,ppd,0.0
2005,NY,ppd,0.0
2006,NY,ppd,0.0
2012,NY,ppd,0.0
2014,NY,ppd,0.0
