yr,ts,j,value
2014,taxes,ins,29.682000000000002
2014,taxes,tex,0.034
2014,taxes,leg,13.192
2014,taxes,uti,30.788
2014,taxes,nmp,0.114
2014,taxes,brd,30.345
2014,taxes,bnk,1.75
2014,taxes,ore,1.082
2014,taxes,edu,0.804
2014,taxes,ote,0.08700000000000001
2014,taxes,man,1.35
2014,taxes,mch,0.231
2014,taxes,dat,1.032
2014,taxes,amd,20.394000000000002
2014,taxes,oil,14.097
2014,taxes,hos,2.15
2014,taxes,rnt,11.037
2014,taxes,pla,0.40900000000000003
2014,taxes,fof,0.669
2014,taxes,fin,0.069
2014,taxes,tsv,4.875
2014,taxes,nrs,2.441
2014,taxes,sec,1.133
2014,taxes,art,5.617
2014,taxes,mov,3.092
2014,taxes,fpd,0.035
2014,taxes,pri,0.051000000000000004
2014,taxes,grd,0.842
2014,taxes,pip,0.067
2014,taxes,sle,0.544
2014,taxes,osv,11.586
2014,taxes,trn,0.798
2014,taxes,smn,0.365
2014,taxes,fmt,0.684
2014,taxes,pet,0.527
2014,taxes,mvt,40.25
2014,taxes,cep,0.853
2014,taxes,wst,1.6400000000000001
2014,taxes,mot,0.197
2014,taxes,adm,5.464
2014,taxes,soc,0.782
2014,taxes,alt,0.011
2014,taxes,pmt,0.11900000000000001
2014,taxes,trk,0.537
2014,taxes,gmt,36.896
2014,taxes,wtt,0.212
2014,taxes,wpd,0.101
2014,taxes,wht,196.77
2014,taxes,wrh,0.096
2014,taxes,ott,96.995
2014,taxes,che,4.123
2014,taxes,air,17.872
2014,taxes,mmf,1.538
2014,taxes,otr,0.252
2014,taxes,min,3.656
2014,subsidies,agr,7.463
2014,subsidies,eec,0.293
2014,subsidies,hou,16.014
2014,subsidies,tex,0.005
2014,subsidies,fen,7.268
2014,subsidies,brd,0.094
2014,subsidies,bnk,0.8140000000000001
2014,subsidies,ore,2.3040000000000003
2014,subsidies,hos,3.128
2014,subsidies,sle,18.453
2014,subsidies,trn,1.778
2014,subsidies,pet,0.138
2014,subsidies,wtt,0.07
2014,subsidies,che,0.048
2014,subsidies,air,0.219
2013,taxes,ppd,0.10200000000000001
2013,taxes,res,38.749
2013,taxes,com,3.584
2013,taxes,amb,1.183
2013,taxes,fbp,24.944
2013,taxes,rec,7.692
2013,taxes,con,1.373
2013,taxes,eec,0.096
2013,taxes,pub,1.066
2013,taxes,fbt,19.265
2013,taxes,ins,20.197
2013,taxes,tex,0.033
2013,taxes,leg,12.145
2013,taxes,uti,30.819
2013,taxes,nmp,0.105
2013,taxes,brd,29.834
2013,taxes,bnk,1.71
2013,taxes,ore,1.0190000000000001
2013,taxes,edu,0.769
2013,taxes,ote,0.085
2013,taxes,man,1.226
2013,taxes,mch,0.216
2013,taxes,dat,0.927
2013,taxes,amd,19.553
2013,taxes,oil,15.046000000000001
2013,taxes,hos,2.112
2013,taxes,rnt,10.248
2013,taxes,pla,0.467
2013,taxes,fof,0.686
2013,taxes,tsv,4.614
2013,taxes,nrs,2.398
2013,taxes,sec,1.054
2013,taxes,art,5.473
2013,taxes,mov,2.989
2013,taxes,fpd,0.033
2013,taxes,pri,0.05
2013,taxes,grd,0.8260000000000001
2013,taxes,pip,0.058
2013,taxes,sle,0.534
2013,taxes,osv,10.966000000000001
2013,taxes,trn,0.792
2013,taxes,smn,0.303
2013,taxes,fmt,0.877
2013,taxes,pet,0.5630000000000001
2013,taxes,mvt,37.558
2013,taxes,cep,0.791
2013,taxes,wst,1.5190000000000001
2013,taxes,mot,0.201
2013,taxes,adm,5.074
2013,taxes,soc,0.75
2013,taxes,alt,0.011
2013,taxes,pmt,0.113
2013,taxes,trk,0.527
2013,taxes,gmt,35.832
2013,taxes,wtt,0.227
2013,taxes,wpd,0.091
2013,taxes,wht,191.065
2013,taxes,wrh,0.09
2013,taxes,ott,93.113
2013,taxes,che,3.928
2013,taxes,air,16.445
2013,taxes,mmf,1.448
2013,taxes,otr,0.244
2013,taxes,min,3.844
2013,subsidies,agr,8.913
2013,subsidies,eec,0.394
2013,subsidies,hou,16.458000000000002
2013,subsidies,tex,0.005
2013,subsidies,fen,7.152
2013,subsidies,brd,0.395
2013,subsidies,bnk,0.655
2013,subsidies,ore,2.09
2013,subsidies,hos,3.376
2013,subsidies,sle,17.954
2013,subsidies,trn,1.865
2013,subsidies,pet,0.038
2013,subsidies,wtt,0.14100000000000001
2013,subsidies,che,0.047
2013,subsidies,air,0.234
1999,taxes,ppd,0.092
1999,taxes,res,19.834
1999,taxes,com,1.5130000000000001
1999,taxes,amb,0.483
1999,taxes,fbp,11.959
1999,taxes,rec,3.317
1999,taxes,con,0.764
1999,taxes,eec,0.059000000000000004
1999,taxes,pub,0.78
1999,taxes,fbt,11.399000000000001
1999,taxes,ins,9.979000000000001
1999,taxes,tex,0.038
1999,taxes,leg,4.385
1999,taxes,uti,17.91
1999,taxes,nmp,0.078
1999,taxes,brd,25.366
1999,taxes,bnk,0.925
1999,taxes,ore,0.482
1999,taxes,edu,0.41400000000000003
1999,taxes,ote,0.05
1999,taxes,man,0.464
1999,taxes,mch,0.125
1999,taxes,dat,0.5
1999,taxes,amd,9.526
1999,taxes,oil,2.817
1999,taxes,hos,1.2
1999,taxes,rnt,5.293
1999,taxes,pla,0.318
1999,taxes,fof,0.301
1999,taxes,tsv,2.336
1999,taxes,nrs,0.8180000000000001
1999,taxes,sec,0.553
1999,taxes,art,2.745
1999,taxes,mov,1.448
1999,taxes,fpd,0.029
1999,taxes,pri,0.058
1999,taxes,grd,0.135
1999,taxes,pip,0.032
1999,taxes,sle,0.264
1999,taxes,osv,6.34
1999,taxes,trn,0.273
1999,taxes,smn,0.041
1999,taxes,fmt,0.229
1999,taxes,pet,0.112
1999,taxes,mvt,26.104
1999,taxes,cep,0.248
1999,taxes,wst,0.58
1999,taxes,mot,0.17400000000000002
1999,taxes,adm,2.951
1999,taxes,soc,0.274
1999,taxes,alt,0.018000000000000002
1999,taxes,pmt,0.099
1999,taxes,trk,0.354
1999,taxes,gmt,24.649
1999,taxes,wtt,0.152
1999,taxes,wpd,0.092
1999,taxes,wht,124.822
1999,taxes,wrh,0.037
1999,taxes,ott,54.286
1999,taxes,che,0.603
1999,taxes,air,9.031
1999,taxes,mmf,0.135
1999,taxes,otr,0.121
1999,taxes,min,1.444
1999,subsidies,agr,18.577
1999,subsidies,hou,10.273
1999,subsidies,fen,0.969
1999,subsidies,bnk,0.074
1999,subsidies,ore,2.936
1999,subsidies,sle,11.328
1999,subsidies,trn,1.027
1999,subsidies,wtt,0.025
2002,taxes,ppd,0.092
2002,taxes,res,23.712
2002,taxes,com,1.436
2002,taxes,amb,0.615
2002,taxes,fbp,14.126
2002,taxes,rec,3.673
2002,taxes,con,0.867
2002,taxes,eec,0.059000000000000004
2002,taxes,pub,0.796
2002,taxes,fbt,11.005
2002,taxes,ins,11.918000000000001
2002,taxes,tex,0.034
2002,taxes,leg,7.269
2002,taxes,uti,20.909
2002,taxes,nmp,0.082
2002,taxes,brd,29.837
2002,taxes,bnk,1.042
2002,taxes,ore,0.538
2002,taxes,edu,0.382
2002,taxes,ote,0.047
2002,taxes,man,0.52
2002,taxes,mch,0.12
2002,taxes,dat,0.616
2002,taxes,amd,9.869
2002,taxes,oil,3.458
2002,taxes,hos,0.787
2002,taxes,rnt,5.776
2002,taxes,pla,0.184
2002,taxes,fof,0.262
2002,taxes,tsv,2.253
2002,taxes,nrs,0.711
2002,taxes,sec,0.555
2002,taxes,art,3.122
2002,taxes,mov,1.645
2002,taxes,fpd,0.029
2002,taxes,pri,0.054
2002,taxes,grd,0.153
2002,taxes,pip,0.033
2002,taxes,sle,0.33
2002,taxes,osv,6.671
2002,taxes,trn,0.342
2002,taxes,smn,0.052000000000000005
2002,taxes,fmt,0.17200000000000001
2002,taxes,pet,0.108
2002,taxes,mvt,27.318
2002,taxes,cep,0.219
2002,taxes,wst,0.632
2002,taxes,mot,0.165
2002,taxes,adm,2.886
2002,taxes,soc,0.37
2002,taxes,alt,0.014
2002,taxes,pmt,0.08700000000000001
2002,taxes,trk,0.382
2002,taxes,gmt,25.756
2002,taxes,wtt,0.111
2002,taxes,wpd,0.094
2002,taxes,wht,128.144
2002,taxes,wrh,0.038
2002,taxes,ott,59.789
2002,taxes,che,0.459
2002,taxes,air,10.617
2002,taxes,mmf,0.105
2002,taxes,otr,0.124
2002,taxes,min,1.452
2002,subsidies,agr,10.763
2002,subsidies,hou,11.332
2002,subsidies,fen,1.803
2002,subsidies,uti,0.385
2002,subsidies,bnk,0.121
2002,subsidies,ore,1.651
2002,subsidies,sle,13.237
2002,subsidies,trn,1.5070000000000001
2002,subsidies,wtt,0.437
2002,subsidies,air,0.16
2017,taxes,ppd,0.105
2017,taxes,res,48.223
2017,taxes,com,4.732
2017,taxes,amb,1.365
2017,taxes,fbp,23.252
2017,taxes,rec,9.133000000000001
2017,taxes,con,1.7850000000000001
2017,taxes,eec,0.11
2017,taxes,pub,1.202
2017,taxes,fbt,22.428
2017,taxes,ins,26.053
2017,taxes,tex,0.035
2017,taxes,leg,16.415
2017,taxes,uti,30.227
2017,taxes,nmp,0.134
2017,taxes,brd,30.740000000000002
2017,taxes,bnk,2.0460000000000003
2017,taxes,ore,1.258
2017,taxes,edu,0.871
2017,taxes,ote,0.091
2017,taxes,man,1.499
2017,taxes,mch,0.224
2017,taxes,dat,1.326
2017,taxes,amd,24.253
2017,taxes,oil,8.471
2017,taxes,hos,2.629
2017,taxes,rnt,12.530000000000001
2017,taxes,pla,0.273
2017,taxes,fof,0.495
2017,taxes,fin,0.166
2017,taxes,tsv,5.45
2017,taxes,nrs,2.988
2017,taxes,sec,1.28
2017,taxes,art,6.227
2017,taxes,mov,3.3040000000000003
2017,taxes,fpd,0.039
2017,taxes,pri,0.051000000000000004
2017,taxes,grd,1.031
2017,taxes,pip,0.076
2017,taxes,sle,0.5670000000000001
2017,taxes,osv,13.042
2017,taxes,trn,0.772
2017,taxes,smn,0.23600000000000002
2017,taxes,fmt,0.441
2017,taxes,pet,0.501
2017,taxes,mvt,46.300000000000004
2017,taxes,cep,0.352
2017,taxes,wst,1.889
2017,taxes,mot,0.211
2017,taxes,adm,6.221
2017,taxes,soc,0.899
2017,taxes,alt,0.011
2017,taxes,pmt,0.117
2017,taxes,trk,0.537
2017,taxes,gmt,38.131
2017,taxes,wtt,0.17
2017,taxes,wpd,0.116
2017,taxes,wht,209.497
2017,taxes,wrh,0.125
2017,taxes,ott,105.667
2017,taxes,che,4.836
2017,taxes,air,21.551000000000002
2017,taxes,mmf,0.176
2017,taxes,otr,0.28800000000000003
2017,taxes,min,2.4
2017,subsidies,agr,9.759
2017,subsidies,eec,0.264
2017,subsidies,hou,18.748
2017,subsidies,fen,6.34
2017,subsidies,brd,0.011
2017,subsidies,bnk,0.546
2017,subsidies,ore,1.7730000000000001
2017,subsidies,hos,0.375
2017,subsidies,sle,19.471
2017,subsidies,trn,2.263
2017,subsidies,pet,1.287
2017,subsidies,wtt,0.047
2017,subsidies,che,0.014
2017,subsidies,air,0.23800000000000002
2016,taxes,ppd,0.10400000000000001
2016,taxes,res,46.224000000000004
2016,taxes,com,4.5120000000000005
2016,taxes,amb,1.32
2016,taxes,fbp,23.561
2016,taxes,rec,8.74
2016,taxes,con,1.701
2016,taxes,eec,0.105
2016,taxes,pub,1.1420000000000001
2016,taxes,fbt,21.666
2016,taxes,ins,35.745
2016,taxes,tex,0.035
2016,taxes,leg,15.774000000000001
2016,taxes,uti,30.156000000000002
2016,taxes,nmp,0.127
2016,taxes,brd,29.657
2016,taxes,bnk,1.951
2016,taxes,ore,1.201
2016,taxes,edu,0.862
2016,taxes,ote,0.088
2016,taxes,man,1.446
2016,taxes,mch,0.217
2016,taxes,dat,1.188
2016,taxes,amd,22.993000000000002
2016,taxes,oil,6.292
2016,taxes,hos,2.453
2016,taxes,rnt,11.775
2016,taxes,pla,0.241
2016,taxes,fof,0.41200000000000003
2016,taxes,fin,0.134
2016,taxes,tsv,5.279
2016,taxes,nrs,2.785
2016,taxes,sec,1.21
2016,taxes,art,5.994
2016,taxes,mov,3.235
2016,taxes,fpd,0.039
2016,taxes,pri,0.052000000000000005
2016,taxes,grd,0.965
2016,taxes,pip,0.073
2016,taxes,sle,0.562
2016,taxes,osv,12.506
2016,taxes,trn,0.77
2016,taxes,smn,0.194
2016,taxes,fmt,0.396
2016,taxes,pet,0.47000000000000003
2016,taxes,mvt,45.24
2016,taxes,cep,0.339
2016,taxes,wst,1.7630000000000001
2016,taxes,mot,0.198
2016,taxes,adm,5.964
2016,taxes,soc,0.857
2016,taxes,alt,0.011
2016,taxes,pmt,0.111
2016,taxes,trk,0.529
2016,taxes,gmt,37.746
2016,taxes,wtt,0.163
2016,taxes,wpd,0.111
2016,taxes,wht,202.198
2016,taxes,wrh,0.115
2016,taxes,ott,102.291
2016,taxes,che,3.8080000000000003
2016,taxes,air,19.98
2016,taxes,mmf,0.161
2016,taxes,otr,0.275
2016,taxes,min,1.954
2016,subsidies,agr,11.157
2016,subsidies,eec,0.261
2016,subsidies,hou,18.041
2016,subsidies,fen,6.0040000000000004
2016,subsidies,brd,-0.005
2016,subsidies,bnk,0.616
2016,subsidies,ore,1.823
2016,subsidies,hos,1.084
2016,subsidies,sle,20.408
2016,subsidies,trn,1.928
2016,subsidies,pet,0.088
2016,subsidies,wtt,0.14400000000000002
2016,subsidies,che,0.015
2016,subsidies,air,0.245
2015,taxes,ppd,0.10400000000000001
2015,taxes,res,43.719
2015,taxes,com,4.331
2015,taxes,amb,1.2750000000000001
2015,taxes,fbp,23.795
2015,taxes,rec,8.365
2015,taxes,con,1.613
2015,taxes,eec,0.10300000000000001
2015,taxes,pub,1.1500000000000001
2015,taxes,fbt,21.183
2015,taxes,ins,34.27
2015,taxes,tex,0.035
2015,taxes,leg,14.796000000000001
2015,taxes,uti,30.405
2015,taxes,nmp,0.122
2015,taxes,brd,30.039
2015,taxes,bnk,1.877
2015,taxes,ore,1.129
2015,taxes,edu,0.833
2015,taxes,ote,0.091
2015,taxes,man,1.451
2015,taxes,mch,0.232
2015,taxes,dat,1.143
2015,taxes,amd,21.359
2015,taxes,oil,8.153
2015,taxes,hos,2.286
2015,taxes,rnt,11.406
2015,taxes,pla,0.38
2015,taxes,fof,0.47000000000000003
2015,taxes,fin,0.073
2015,taxes,tsv,5.109
2015,taxes,nrs,2.593
2015,taxes,sec,1.181
2015,taxes,art,5.806
2015,taxes,mov,3.173
2015,taxes,fpd,0.036000000000000004
2015,taxes,pri,0.052000000000000005
2015,taxes,grd,0.895
2015,taxes,pip,0.073
2015,taxes,sle,0.558
2015,taxes,osv,12.095
2015,taxes,trn,0.79
2015,taxes,smn,0.289
2015,taxes,fmt,0.5650000000000001
2015,taxes,pet,0.538
2015,taxes,mvt,43.562
2015,taxes,cep,0.852
2015,taxes,wst,1.715
2015,taxes,mot,0.211
2015,taxes,adm,5.784
2015,taxes,soc,0.8190000000000001
2015,taxes,alt,0.011
2015,taxes,pmt,0.11800000000000001
2015,taxes,trk,0.536
2015,taxes,gmt,37.914
2015,taxes,wtt,0.20400000000000001
2015,taxes,wpd,0.107
2015,taxes,wht,201.0
2015,taxes,wrh,0.105
2015,taxes,ott,99.956
2015,taxes,che,4.112
2015,taxes,air,19.065
2015,taxes,mmf,1.489
2015,taxes,otr,0.267
2015,taxes,min,2.414
2015,subsidies,agr,8.926
2015,subsidies,eec,0.278
2015,subsidies,hou,16.413
2015,subsidies,tex,0.011
2015,subsidies,fen,6.001
2015,subsidies,brd,0.094
2015,subsidies,bnk,0.546
2015,subsidies,ore,1.879
2015,subsidies,hos,1.847
2015,subsidies,sle,19.022000000000002
2015,subsidies,trn,1.863
2015,subsidies,pet,0.079
2015,subsidies,wtt,0.04
2015,subsidies,che,0.015
2015,subsidies,air,0.24
1998,taxes,ppd,0.091
1998,taxes,res,18.589
1998,taxes,com,1.2570000000000001
1998,taxes,amb,0.466
1998,taxes,fbp,11.98
