yr,i,fd,value
2009,res,pce,500.516
2009,com,def_equipment,1.699
2009,com,state_equipment,0.843
2009,com,def_intelprop,5.417
2009,com,equipment,16.803
2009,com,state_intelprop,7.844
2009,com,intelprop,137.368
2009,com,fed_intelprop,13.392
2009,amb,pce,762.891
2009,fbp,changinv,-1.133
2009,fbp,pce,837.298
2009,rec,pce,146.336
2009,con,fed_structures,11.699
2009,con,def_structures,17.132
2009,con,state_invest,283.491
2009,con,structures,362.712
2009,con,residential,287.607
2009,agr,changinv,-9.845
2009,agr,pce,105.913
2009,eec,def_equipment,0.729
2009,eec,changinv,-6.03
2009,eec,state_equipment,1.998
2009,eec,fed_equipment,1.752
2009,eec,residential,5.971
2009,eec,equipment,25.269000000000002
2009,eec,pce,64.352
2009,use,fed_structures,0.319
2009,use,changinv,-14.394
2009,use,def_structures,-0.004
2009,use,state_equipment,-1.232
2009,use,fed_equipment,-0.034
2009,use,state_invest,5.4190000000000005
2009,use,structures,-2.364
2009,use,residential,-2.871
2009,use,equipment,-84.688
2009,use,pce,121.251
2009,fnd,nondefense,321.258
2009,pub,changinv,-2.6510000000000002
2009,pub,def_intelprop,1.546
2009,pub,state_intelprop,3.713
2009,pub,intelprop,77.611
2009,pub,pce,101.784
2009,pub,fed_intelprop,2.25
2009,hou,pce,1586.078
2009,ins,residential,3.124
2009,ins,pce,268.326
2009,tex,changinv,-2.728
2009,tex,state_equipment,0.038
2009,tex,fed_equipment,0.085
2009,tex,residential,1.697
2009,tex,equipment,3.029
2009,tex,pce,57.186
2009,leg,residential,19.711000000000002
2009,leg,pce,87.45700000000001
2009,fen,pce,10.243
2009,uti,pce,246.50300000000001
2009,nmp,changinv,-3.966
2009,nmp,pce,18.283
2009,brd,equipment,7.869
2009,brd,intelprop,19.158
2009,brd,pce,259.666
2009,bnk,pce,184.846
2009,ore,structures,15.981
2009,ore,residential,67.46600000000001
2009,ore,pce,5.496
2009,edu,pce,275.037
2009,ote,def_equipment,39.305
2009,ote,changinv,-1.778
2009,ote,state_equipment,1.859
2009,ote,fed_equipment,3.553
2009,ote,equipment,38.954
2009,ote,pce,24.804000000000002
2009,mch,def_equipment,2.031
2009,mch,changinv,-13.625
2009,mch,state_equipment,8.808
2009,mch,fed_equipment,0.669
2009,mch,equipment,204.221
2009,mch,pce,16.202
2009,dat,def_intelprop,0.537
2009,dat,state_intelprop,1.491
2009,dat,intelprop,13.927
2009,dat,pce,20.839000000000002
2009,dat,fed_intelprop,0.579
2009,amd,pce,106.62100000000001
2009,oil,changinv,2.188
2009,hos,pce,743.873
2009,rnt,pce,71.132
2009,pla,changinv,-5.215
2009,pla,fed_equipment,0.022
2009,pla,residential,0.195
2009,pla,equipment,0.178
2009,pla,pce,53.965
2009,fof,changinv,-0.517
2009,fof,pce,8.381
2009,fin,pce,102.912
2009,tsv,def_intelprop,62.073
2009,tsv,residential,1.745
2009,tsv,equipment,40.807
2009,tsv,state_intelprop,15.26
2009,tsv,intelprop,275.702
2009,tsv,pce,52.919000000000004
2009,tsv,fed_intelprop,63.326
2009,nrs,pce,185.939
2009,sec,pce,155.011
2009,art,intelprop,4.664
2009,art,pce,59.755
2009,mov,changinv,-0.26
2009,mov,intelprop,29.72
2009,mov,pce,34.591
2009,fpd,def_equipment,0.001
2009,fpd,changinv,-5.324
2009,fpd,state_equipment,2.468
2009,fpd,fed_equipment,0.029
2009,fpd,residential,0.52
2009,fpd,equipment,27.481
2009,fpd,pce,80.64
2009,slg,state_consume,1495.035
2009,pri,changinv,-0.994
2009,pri,pce,9.131
2009,grd,pce,29.534
2009,sle,pce,53.613
2009,osv,pce,460.469
2009,trn,pce,1.022
2009,smn,changinv,0.004
2009,smn,structures,79.181
2009,smn,equipment,1.278
2009,fmt,def_equipment,2.839
2009,fmt,changinv,-10.357000000000001
2009,fmt,state_equipment,1.344
2009,fmt,fed_equipment,1.26
2009,fmt,equipment,12.272
2009,fmt,pce,30.251
2009,pet,changinv,-1.045
2009,pet,pce,285.815
2009,cep,def_equipment,37.868
2009,cep,changinv,-8.256
2009,cep,state_equipment,16.851
2009,cep,fed_equipment,9.870000000000001
2009,cep,residential,0.41400000000000003
2009,cep,equipment,196.092
2009,cep,pce,135.872
2009,wst,pce,18.621
2009,mot,def_equipment,1.977
2009,mot,changinv,-28.315
2009,mot,state_equipment,8.732
2009,mot,fed_equipment,0.387
2009,mot,equipment,117.936
2009,mot,pce,195.767
2009,adm,pce,44.112
2009,soc,pce,155.101
2009,alt,changinv,-5.724
2009,alt,pce,307.503
2009,pmt,changinv,-10.851
2009,pmt,pce,1.799
2009,trk,pce,7.002
2009,fdd,defense,614.3100000000001
2009,wtt,pce,13.559000000000001
2009,wpd,changinv,-3.225
2009,wpd,fed_equipment,0.011
2009,wpd,structures,0.307
2009,wpd,residential,4.424
2009,wpd,pce,8.739
2009,oth,intelprop,6.203
2009,oth,pce,-48.512
2009,wrh,pce,0.095
2009,ott,pce,2.574
2009,che,changinv,-6.7540000000000004
2009,che,equipment,2.946
2009,che,pce,428.414
2009,air,pce,82.16
2009,mmf,def_equipment,0.107
2009,mmf,changinv,-7.156000000000001
2009,mmf,state_equipment,1.359
2009,mmf,fed_equipment,0.196
2009,mmf,equipment,59.134
2009,mmf,pce,204.314
2009,otr,pce,12.981
2009,min,changinv,-1.0070000000000001
2009,min,equipment,0.68
2009,min,pce,0.396
2005,ppd,changinv,0.655
2005,ppd,pce,37.59
2005,res,pce,442.19100000000003
2005,com,def_equipment,0.9450000000000001
2005,com,state_equipment,0.587
2005,com,def_intelprop,4.961
2005,com,equipment,6.899
2005,com,state_intelprop,7.8100000000000005
