yr,va,j,value
2008,compen,trk,74.995
2008,compen,fdd,214.32
2008,compen,gmt,79.875
2008,compen,wtt,6.08
2008,compen,wpd,21.240000000000002
2008,compen,wht,435.657
2008,compen,wrh,31.993000000000002
2008,compen,ott,250.324
2008,compen,che,86.64
2008,compen,air,38.372
2008,compen,mmf,45.548
2008,compen,otr,64.153
2008,compen,min,17.525000000000002
2009,othtax,ppd,1.782
2009,othtax,res,3.6830000000000003
2009,othtax,com,1.472
2009,othtax,amb,6.668
2009,othtax,fbp,5.515
2009,othtax,rec,2.985
2009,othtax,con,6.198
2009,othtax,agr,7.273000000000001
2009,othtax,eec,1.086
2009,othtax,pub,2.803
2009,othtax,hou,205.485
2009,othtax,fbt,2.9210000000000003
2009,othtax,ins,5.569
2009,othtax,tex,0.669
2009,othtax,leg,1.064
2009,othtax,uti,25.956
2009,othtax,nmp,1.295
2009,othtax,brd,3.778
2009,othtax,bnk,14.751
2009,othtax,ore,22.319
2009,othtax,edu,7.042
2009,othtax,ote,2.352
2009,othtax,man,7.47
2009,othtax,mch,3.1950000000000003
2009,othtax,dat,1.333
2009,othtax,amd,4.865
2009,othtax,oil,16.474
2009,othtax,hos,9.782
2009,othtax,rnt,6.44
2009,othtax,pla,1.47
2009,othtax,fof,0.894
2009,othtax,fin,0.899
2009,othtax,tsv,7.378
2009,othtax,nrs,2.9050000000000002
2009,othtax,sec,4.325
2009,othtax,art,2.079
2009,othtax,mov,3.737
2009,othtax,fpd,0.384
2009,othtax,pri,0.844
2009,othtax,grd,0.858
2009,othtax,pip,2.134
2009,othtax,osv,9.186
2009,othtax,trn,0.8260000000000001
2009,othtax,smn,1.508
2009,othtax,fmt,2.6470000000000002
2009,othtax,pet,2.724
2009,othtax,mvt,3.09
2009,othtax,cep,7.0760000000000005
2009,othtax,wst,1.717
2009,othtax,mot,2.868
2009,othtax,adm,2.848
2009,othtax,soc,0.92
2009,othtax,alt,0.307
2009,othtax,pmt,2.356
2009,othtax,trk,3.152
2009,othtax,gmt,2.954
2009,othtax,wtt,0.638
