yr,m,i,value
2012,trn,wpd,5.803
2012,trn,che,29.579
2012,trn,mmf,14.325000000000001
2012,trn,min,31.115000000000002
2012,trd,ppd,38.829
2012,trd,fbp,371.809
2012,trd,agr,71.907
2012,trd,eec,78.264
2012,trd,use,85.999
2012,trd,pub,68.51
2012,trd,tex,54.727000000000004
2012,trd,nmp,29.957
2012,trd,ote,23.343
2012,trd,mch,149.366
2012,trd,oil,12.314
2012,trd,pla,81.777
2012,trd,fof,9.431000000000001
2012,trd,mov,8.894
2012,trd,fpd,62.565000000000005
2012,trd,pri,12.239
2012,trd,fmt,83.151
2012,trd,pet,128.973
2012,trd,cep,195.913
2012,trd,mot,151.566
2012,trd,alt,198.401
2012,trd,pmt,33.264
2012,trd,wpd,22.404
2012,trd,che,347.27
2012,trd,mmf,169.698
2012,trd,min,5.408
2014,trn,ppd,12.054
2014,trn,fbp,26.957
2014,trn,agr,47.135
2014,trn,eec,7.74
2014,trn,use,30.813000000000002
2014,trn,pub,4.116
2014,trn,tex,4.259
2014,trn,nmp,19.344
2014,trn,ote,4.179
2014,trn,mch,16.105
2014,trn,oil,50.165
2014,trn,pla,5.425
2014,trn,fof,3.323
2014,trn,mov,0.131
2014,trn,fpd,14.332
2014,trn,pri,3.176
2014,trn,fmt,11.977
2014,trn,pet,26.525000000000002
2014,trn,cep,9.974
2014,trn,mot,15.485000000000001
2014,trn,alt,7.644
2014,trn,pmt,13.762
2014,trn,wpd,7.168
2014,trn,che,32.79
2014,trn,mmf,15.881
2014,trn,min,33.849000000000004
2014,trd,ppd,41.303000000000004
2014,trd,fbp,399.232
2014,trd,agr,83.282
2014,trd,eec,90.436
2014,trd,use,94.006
2014,trd,pub,78.922
2014,trd,tex,61.283
2014,trd,nmp,35.303
2014,trd,ote,23.697
2014,trd,mch,159.987
2014,trd,oil,12.725
2014,trd,pla,89.60300000000001
2014,trd,fof,10.253
2014,trd,mov,8.843
2014,trd,fpd,70.893
2014,trd,pri,13.16
2014,trd,fmt,89.384
2014,trd,pet,140.951
2014,trd,cep,208.138
2014,trd,mot,172.873
2014,trd,alt,215.36100000000002
2014,trd,pmt,33.628
2014,trd,wpd,27.368000000000002
2014,trd,che,390.91
2014,trd,mmf,181.061
2014,trd,min,7.05
2013,trn,ppd,11.845
2013,trn,fbp,25.135
2013,trn,agr,45.775
2013,trn,eec,6.924
2013,trn,use,28.228
2013,trn,pub,3.938
2013,trn,tex,3.994
2013,trn,nmp,16.808
2013,trn,ote,3.779
2013,trn,mch,14.074
2013,trn,oil,45.379
2013,trn,pla,5.026
2013,trn,fof,3.077
2013,trn,mov,0.131
2013,trn,fpd,13.115
2013,trn,pri,3.122
2013,trn,fmt,10.622
2013,trn,pet,25.19
2013,trn,cep,9.221
2013,trn,mot,14.301
2013,trn,alt,7.204
2013,trn,pmt,12.625
2013,trn,wpd,6.565
2013,trn,che,31.501
2013,trn,mmf,14.571
2013,trn,min,31.047
2013,trd,ppd,40.518
2013,trd,fbp,388.06600000000003
2013,trd,agr,80.124
2013,trd,eec,84.536
2013,trd,use,88.627
2013,trd,pub,75.07300000000001
2013,trd,tex,57.545
2013,trd,nmp,32.494
2013,trd,ote,22.990000000000002
2013,trd,mch,151.623
2013,trd,oil,13.119
2013,trd,pla,85.21000000000001
2013,trd,fof,9.463000000000001
2013,trd,mov,8.939
2013,trd,fpd,67.731
2013,trd,pri,12.574
2013,trd,fmt,85.78
2013,trd,pet,137.234
2013,trd,cep,200.257
2013,trd,mot,159.8
2013,trd,alt,210.56300000000002
2013,trd,pmt,32.056
2013,trd,wpd,25.093
2013,trd,che,367.258
2013,trd,mmf,173.735
2013,trd,min,6.115
1999,trn,ppd,5.4830000000000005
1999,trn,fbp,10.785
1999,trn,agr,19.358
1999,trn,eec,3.902
1999,trn,use,24.793
1999,trn,pub,2.713
1999,trn,tex,2.315
1999,trn,nmp,10.620000000000001
1999,trn,ote,1.561
1999,trn,mch,5.2540000000000004
1999,trn,oil,22.579
1999,trn,pla,3.7840000000000003
1999,trn,fof,2.335
1999,trn,mov,0.168
1999,trn,fpd,9.52
1999,trn,pri,1.721
1999,trn,fmt,3.904
1999,trn,pet,8.945
1999,trn,cep,6.433
1999,trn,mot,8.873
1999,trn,alt,4.672
1999,trn,pmt,4.609
1999,trn,wpd,3.967
1999,trn,che,16.01
1999,trn,mmf,9.854000000000001
1999,trn,min,14.193
1999,trd,ppd,23.392
1999,trd,fbp,209.085
1999,trd,agr,40.621
1999,trd,eec,40.426
1999,trd,use,59.034
1999,trd,pub,31.375
1999,trd,tex,38.216
1999,trd,nmp,23.034
1999,trd,ote,12.423
1999,trd,mch,76.747
1999,trd,oil,3.3120000000000003
1999,trd,pla,44.808
1999,trd,fof,6.972
1999,trd,mov,6.497
1999,trd,fpd,36.146
1999,trd,pri,8.25
1999,trd,fmt,42.867000000000004
1999,trd,pet,61.314
1999,trd,cep,102.427
1999,trd,mot,93.58500000000001
1999,trd,alt,127.24000000000001
1999,trd,pmt,17.674
1999,trd,wpd,19.314
1999,trd,che,146.079
1999,trd,mmf,90.09400000000001
1999,trd,min,3.3280000000000003
2002,trn,ppd,7.347
2002,trn,fbp,13.972
2002,trn,agr,15.939
2002,trn,eec,3.915
2002,trn,use,24.518
2002,trn,pub,3.1950000000000003
2002,trn,tex,3.007
2002,trn,nmp,12.692
2002,trn,ote,1.542
2002,trn,mch,6.518
2002,trn,oil,20.582
2002,trn,pla,3.257
2002,trn,fof,1.8860000000000001
2002,trn,mov,0.246
2002,trn,fpd,10.4
2002,trn,pri,2.624
2002,trn,fmt,5.404
2002,trn,pet,9.748
2002,trn,cep,6.7940000000000005
2002,trn,mot,8.616
2002,trn,alt,4.9590000000000005
2002,trn,pmt,4.987
2002,trn,wpd,5.109
2002,trn,che,15.088000000000001
2002,trn,mmf,11.239
2002,trn,min,14.211
2002,trd,ppd,26.733
2002,trd,fbp,237.894
2002,trd,agr,45.907000000000004
2002,trd,eec,44.036
2002,trd,use,58.593
2002,trd,pub,34.1
2002,trd,tex,43.152
2002,trd,nmp,25.469
2002,trd,ote,13.733
2002,trd,mch,75.425
2002,trd,oil,2.98
2002,trd,pla,46.516
2002,trd,fof,6.642
2002,trd,mov,8.257
2002,trd,fpd,41.238
2002,trd,pri,8.469
2002,trd,fmt,47.049
2002,trd,pet,62.526
2002,trd,cep,101.943
2002,trd,mot,108.163
2002,trd,alt,140.102
2002,trd,pmt,15.209
2002,trd,wpd,20.802
2002,trd,che,186.709
2002,trd,mmf,106.296
2002,trd,min,3.69
2017,trn,ppd,11.293000000000001
2017,trn,fbp,24.716
2017,trn,agr,54.875
2017,trn,eec,7.421
2017,trn,use,32.057
2017,trn,pub,4.096
2017,trn,tex,4.067
2017,trn,nmp,24.330000000000002
2017,trn,ote,4.015
2017,trn,mch,15.093
2017,trn,oil,49.188
