yr,i,value
2005,nrs,1.121
2006,nrs,1.224
2012,nrs,2.204
2014,nrs,2.399
2013,nrs,2.357
1999,nrs,0.758
2002,nrs,0.6910000000000001
2017,nrs,2.942
2016,nrs,2.741
2015,nrs,2.5500000000000003
1998,nrs,0.738
2004,nrs,0.743
2000,nrs,0.747
1997,nrs,0.6900000000000001
2007,nrs,1.377
2010,nrs,1.67
2003,nrs,0.79
2011,nrs,1.79
2001,nrs,0.632
2008,sec,1.324
2009,sec,1.0110000000000001
2005,sec,1.756
2006,sec,1.67
2012,sec,1.008
2014,sec,1.159
2013,sec,1.081
1999,sec,1.057
2002,sec,1.027
2017,sec,1.31
2016,sec,1.239
2015,sec,1.209
1998,sec,1.03
2004,sec,1.316
2000,sec,1.1380000000000001
1997,sec,0.8270000000000001
2007,sec,1.579
2010,sec,1.06
2003,sec,1.326
2011,sec,1.035
2001,sec,1.072
2008,art,4.96
2009,art,4.743
2005,art,4.041
2006,art,4.372
2012,art,4.965
2014,art,5.214
2013,art,5.096
1999,art,2.6430000000000002
2002,art,3.0260000000000002
2017,art,5.797
2016,art,5.583
2015,art,5.407
1998,art,2.305
2004,art,3.797
2000,art,2.696
1997,art,1.9160000000000001
2007,art,4.906
2010,art,4.756
2003,art,3.332
2011,art,4.835
2001,art,2.855
2008,mov,3.341
2009,mov,3.2760000000000002
2005,mov,2.827
2006,mov,3.063
2012,mov,3.589
2014,mov,3.84
2013,mov,3.729
1999,mov,2.024
2002,mov,2.198
2017,mov,4.12
2016,mov,4.024
2015,mov,3.9530000000000003
1998,mov,1.817
2004,mov,2.6470000000000002
2000,mov,2.107
1997,mov,1.559
2007,mov,3.4050000000000002
2010,mov,3.344
2003,mov,2.361
2011,mov,3.444
2001,mov,2.1630000000000003
2008,fpd,6.847
2009,fpd,6.061
2005,fpd,6.791
2006,fpd,7.324
2012,fpd,7.321
2014,fpd,8.309000000000001
2013,fpd,8.033
1999,fpd,4.841
2002,fpd,5.23
2017,fpd,9.675
2016,fpd,9.486
2015,fpd,9.135
1998,fpd,4.638
2004,fpd,6.199
2000,fpd,5.304
1997,fpd,4.339
2007,fpd,7.78
2010,fpd,6.37
2003,fpd,5.47
2011,fpd,6.885
2001,fpd,5.49
2008,slg,0.0
2009,slg,0.0
2005,slg,0.0
2006,slg,0.0
2012,slg,0.0
2014,slg,0.0
2013,slg,0.0
1999,slg,0.0
2002,slg,0.0
2017,slg,0.0
2016,slg,0.0
2015,slg,0.0
1998,slg,0.0
2004,slg,0.0
2000,slg,0.0
1997,slg,0.0
2007,slg,0.0
2010,slg,0.0
2003,slg,0.0
2011,slg,0.0
2001,slg,0.0
2008,pri,0.873
2009,pri,0.918
2005,pri,0.729
2006,pri,0.857
2012,pri,1.074
2014,pri,1.11
2013,pri,1.082
1999,pri,0.6930000000000001
2002,pri,0.628
2017,pri,1.1280000000000001
2016,pri,1.241
2015,pri,1.162
1998,pri,0.734
2004,pri,0.723
2000,pri,0.71
1997,pri,0.671
2007,pri,0.724
2010,pri,0.935
2003,pri,0.666
2011,pri,1.067
2001,pri,0.717
2008,grd,0.187
2009,grd,0.5730000000000001
2005,grd,0.146
2006,grd,0.171
2012,grd,0.76
2014,grd,0.835
2013,grd,0.8180000000000001
1999,grd,0.107
2002,grd,0.123
2017,grd,1.0210000000000001
2016,grd,0.9570000000000001
2015,grd,0.887
1998,grd,0.101
2004,grd,0.111
2000,grd,0.107
1997,grd,0.094
2007,grd,0.178
2010,grd,0.711
2003,grd,0.115
2011,grd,0.663
2001,grd,0.123
2008,pip,0.042
2009,pip,0.044
2005,pip,0.028
2006,pip,0.034
2012,pip,0.065
2014,pip,0.067
2013,pip,0.058
1999,pip,0.032
2002,pip,0.033
2017,pip,0.076
2016,pip,0.073
2015,pip,0.073
1998,pip,0.029
2004,pip,0.027
2000,pip,0.038
1997,pip,0.031
2007,pip,0.04
2010,pip,0.043000000000000003
2003,pip,0.03
2011,pip,0.053
2001,pip,0.061
2008,sle,0.0
2009,sle,0.0
2005,sle,0.0
2006,sle,0.0
2012,sle,0.0
2014,sle,0.0
2013,sle,0.0
1999,sle,0.0
2002,sle,0.0
2017,sle,0.0
2016,sle,0.0
2015,sle,0.0
1998,sle,0.0
2004,sle,0.0
2000,sle,0.0
1997,sle,0.0
2007,sle,0.0
2010,sle,0.0
2003,sle,0.0
2011,sle,0.0
2001,sle,0.0
2008,osv,14.76
2009,osv,13.806000000000001
2005,osv,13.530000000000001
2006,osv,14.605
2012,osv,15.365
2014,osv,17.589
2013,osv,16.536
1999,osv,10.974
2002,osv,11.437
2017,osv,19.92
2016,osv,19.249
2015,osv,18.54
1998,osv,9.996
2004,osv,12.671000000000001
2000,osv,11.494
1997,osv,9.83
2007,osv,15.078000000000001
2010,osv,14.105
2003,osv,11.915000000000001
2011,osv,14.933
2001,osv,10.701
2008,trn,0.6940000000000001
2009,trn,0.6920000000000001
2005,trn,0.387
2006,trn,0.439
2012,trn,0.79
2014,trn,0.797
2013,trn,0.79
1999,trn,0.272
2002,trn,0.341
2017,trn,0.77
2016,trn,0.769
2015,trn,0.788
1998,trn,0.256
