yr,i,j,value
2004,eec,ppd,0.36815097823128856
2000,eec,ppd,0.36709593808454954
1997,eec,ppd,0.35632750303848554
2007,eec,ppd,0.36546291717972146
2010,eec,ppd,0.407474011433399
2003,eec,ppd,0.346466534736044
2011,eec,ppd,0.4585011933779265
2001,eec,ppd,0.35675703859759594
2008,fnd,ppd,0.0
2009,fnd,ppd,0.0
2005,fnd,ppd,0.0
2006,fnd,ppd,0.0
2012,fnd,ppd,0.0
2014,fnd,ppd,0.0
2013,fnd,ppd,0.0
1999,fnd,ppd,0.0
2002,fnd,ppd,0.0
2017,fnd,ppd,0.0
2016,fnd,ppd,0.0
2015,fnd,ppd,0.0
1998,fnd,ppd,0.0
2004,fnd,ppd,0.0
2000,fnd,ppd,0.0
1997,fnd,ppd,0.0
2007,fnd,ppd,0.0
2010,fnd,ppd,0.0
2003,fnd,ppd,0.0
2011,fnd,ppd,0.0
2001,fnd,ppd,0.0
2008,pub,ppd,0.003046901782157291
2009,pub,ppd,0.0020238448992814344
2005,pub,ppd,0.004059171272447557
2006,pub,ppd,0.0030412263259133694
2012,pub,ppd,0.004053764497737407
2014,pub,ppd,0.0030506200420094814
2013,pub,ppd,0.0040595332643632055
1999,pub,ppd,0.0020536872888521395
2002,pub,ppd,0.008145962416352756
2017,pub,ppd,0.005122192998178752
2016,pub,ppd,0.004066282266435097
2015,pub,ppd,0.003038010719905933
1998,pub,ppd,0.001025713979984183
2004,pub,ppd,0.004083430355793022
2000,pub,ppd,0.004104225767652826
1997,pub,ppd,0.0
2007,pub,ppd,0.0030428163322585903
2010,pub,ppd,0.00201883740694659
2003,pub,ppd,0.006124618950759218
2011,pub,ppd,0.003039092485784492
2001,pub,ppd,0.006142541783391568
2008,hou,ppd,0.0
2009,hou,ppd,0.0
2005,hou,ppd,0.0
2006,hou,ppd,0.0
2012,hou,ppd,0.0
2014,hou,ppd,0.0
2013,hou,ppd,0.0
1999,hou,ppd,0.0
2002,hou,ppd,0.0
2017,hou,ppd,0.0
2016,hou,ppd,0.0
2015,hou,ppd,0.0
1998,hou,ppd,0.0
2004,hou,ppd,0.0
2000,hou,ppd,0.0
1997,hou,ppd,0.0
2007,hou,ppd,0.0
2010,hou,ppd,0.0
2003,hou,ppd,0.0
2011,hou,ppd,0.0
2001,hou,ppd,0.0
2008,fbt,ppd,0.0
2009,fbt,ppd,0.0
2005,fbt,ppd,0.0
2006,fbt,ppd,0.0
2012,fbt,ppd,0.0
2014,fbt,ppd,0.0
2013,fbt,ppd,0.0
1999,fbt,ppd,0.0
2002,fbt,ppd,0.0
2017,fbt,ppd,0.0
2016,fbt,ppd,0.0
2015,fbt,ppd,0.0
1998,fbt,ppd,0.0
2004,fbt,ppd,0.0
2000,fbt,ppd,0.0
1997,fbt,ppd,0.0
2007,fbt,ppd,0.0
2010,fbt,ppd,0.0
2003,fbt,ppd,0.0
2011,fbt,ppd,0.0
2001,fbt,ppd,0.0
2008,ins,ppd,0.18393134021489596
2009,ins,ppd,0.13821318082532488
2005,ins,ppd,0.19593097218668415
2006,ins,ppd,0.19873855589402753
2012,ins,ppd,0.2529347249144169
2014,ins,ppd,0.3073331722674719
2013,ins,ppd,0.22505016869940692
1999,ins,ppd,0.17858695950039885
2002,ins,ppd,0.189566358209258
2017,ins,ppd,0.29416621590141706
2016,ins,ppd,0.33357726325906306
2015,ins,ppd,0.32112835883857777
1998,ins,ppd,0.20616515557658036
2004,ins,ppd,0.17165666480440145
2000,ins,ppd,0.19160768295625352
1997,ins,ppd,0.18707877867640352
2007,ins,ppd,0.24444334606191548
2010,ins,ppd,0.13749358300340184
2003,ins,ppd,0.19300535037821803
2011,ins,ppd,0.12003293205416674
2001,ins,ppd,0.1977841636186146
2008,tex,ppd,2.9712561439762286
2009,tex,ppd,2.712305393357167
2005,tex,ppd,1.7566677734501488
2006,tex,ppd,1.8702730501627158
2012,tex,ppd,3.9346259327257895
2014,tex,ppd,3.8578159573512862
2013,tex,ppd,4.029086704640718
1999,tex,ppd,1.5537416927635816
2002,tex,ppd,1.5041643463384315
2017,tex,ppd,3.870754868852202
2016,tex,ppd,3.4975236195239154
2015,tex,ppd,3.457811515665056
1998,tex,ppd,1.7256939009609384
2004,tex,ppd,1.6068197711945467
2000,tex,ppd,1.579909731272107
1997,tex,ppd,1.5439051612422947
2007,tex,ppd,2.5692098420396547
2010,tex,ppd,3.097733299561339
2003,tex,ppd,1.4188227845431063
2011,tex,ppd,3.068864333139269
2001,tex,ppd,1.4962593306967973
2008,leg,ppd,0.2535386719930069
2009,leg,ppd,0.263013181843418
2005,leg,ppd,0.25149923258868395
2006,leg,ppd,0.28954533012705774
2012,leg,ppd,0.3788241353051301
2014,leg,ppd,0.3466984833961144
2013,leg,ppd,0.361199329759571
1999,leg,ppd,0.25733724146717973
2002,leg,ppd,0.24434855227420668
2017,leg,ppd,0.8853782900220695
2016,leg,ppd,0.3446303300467605
2015,leg,ppd,0.3291216785069027
1998,leg,ppd,0.2734748908971353
2004,leg,ppd,0.23769852657043836
2000,leg,ppd,0.20946140134033955
1997,leg,ppd,0.2402152675833278
2007,leg,ppd,0.3140974102397052
2010,leg,ppd,0.3562991478513958
2003,leg,ppd,0.27934566419661955
2011,leg,ppd,0.3440410373020176
2001,leg,ppd,0.2162513457815817
2008,fen,ppd,0.0
