yr,i,m,value
1999,nmp,trn,-9.974946887089092e-9
2002,nmp,trn,-9.99091121623592e-9
2017,nmp,trn,-9.990910528656542e-9
2016,nmp,trn,-9.974944923674244e-9
2015,nmp,trn,-9.974944900001787e-9
1998,nmp,trn,-9.974946192864713e-9
2004,nmp,trn,-9.974946813193434e-9
2000,nmp,trn,-9.99091103198352e-9
1997,nmp,trn,-9.97494505941596e-9
2007,nmp,trn,-9.974946711943844e-9
2010,nmp,trn,-9.974946402482658e-9
2003,nmp,trn,-9.99091112480198e-9
2011,nmp,trn,-9.974946347431727e-9
2001,nmp,trn,-9.990911147644552e-9
2008,brd,trn,-9.974947253409991e-9
2009,brd,trn,-9.974946648061769e-9
2005,brd,trn,-9.97494749713903e-9
2006,brd,trn,-9.97494748289953e-9
2012,brd,trn,-9.990910925992895e-9
2014,brd,trn,-9.990910797733732e-9
2013,brd,trn,-9.990910764632647e-9
1999,brd,trn,-9.974947964547092e-9
2002,brd,trn,-9.990911584294017e-9
2017,brd,trn,-9.990910826312304e-9
2016,brd,trn,-9.974945750703474e-9
2015,brd,trn,-9.974945780395236e-9
1998,brd,trn,-9.97494726131924e-9
2004,brd,trn,-9.974947827758977e-9
2000,brd,trn,-9.99091134963597e-9
1997,brd,trn,-9.974946051266761e-9
2007,brd,trn,-9.974947736729666e-9
2010,brd,trn,-9.974947333727343e-9
2003,brd,trn,-9.99091148891673e-9
2011,brd,trn,-9.974947279157116e-9
2001,brd,trn,-9.99091142112498e-9
2008,bnk,trn,-9.97494619774774e-9
2009,bnk,trn,-9.974946381135044e-9
2005,bnk,trn,-9.974947302160615e-9
2006,bnk,trn,-9.974947283704957e-9
2012,bnk,trn,-9.990910852784732e-9
2014,bnk,trn,-9.99091074143712e-9
2013,bnk,trn,-9.990910701025204e-9
1999,bnk,trn,-9.97494753134001e-9
2002,bnk,trn,-9.990911490435213e-9
2017,bnk,trn,-9.990910817005647e-9
2016,bnk,trn,-9.974945706732806e-9
2015,bnk,trn,-9.974945661477371e-9
1998,bnk,trn,-9.974946787805382e-9
2004,bnk,trn,-9.974947604208834e-9
2000,bnk,trn,-9.99091121310089e-9
1997,bnk,trn,-9.974945547912666e-9
2007,bnk,trn,-9.974947301281903e-9
2010,bnk,trn,-9.974947047245042e-9
2003,bnk,trn,-9.990911396653426e-9
2011,bnk,trn,-9.97494683968103e-9
2001,bnk,trn,-9.990911325662957e-9
2008,ore,trn,-9.974946792477821e-9
2009,ore,trn,-9.974946298742048e-9
2005,ore,trn,-9.974947174715768e-9
2006,ore,trn,-9.974947144581825e-9
2012,ore,trn,-9.990910813157844e-9
2014,ore,trn,-9.99091069969741e-9
2013,ore,trn,-9.990910649137127e-9
1999,ore,trn,-9.974947478559007e-9
2002,ore,trn,-9.990911466533731e-9
2017,ore,trn,-9.990910757675305e-9
2016,ore,trn,-9.97494555861112e-9
2015,ore,trn,-9.97494553909196e-9
1998,ore,trn,-9.974946695026578e-9
2004,ore,trn,-9.97494750057994e-9
2000,ore,trn,-9.990911217431685e-9
1997,ore,trn,-9.974945452015781e-9
2007,ore,trn,-9.974947335453566e-9
2010,ore,trn,-9.974946955234669e-9
2003,ore,trn,-9.990911365531218e-9
2011,ore,trn,-9.97494693747103e-9
2001,ore,trn,-9.9909112755528e-9
2008,edu,trn,-9.974946895733865e-9
2009,edu,trn,-9.974946140953266e-9
2005,edu,trn,-9.974947106803413e-9
2006,edu,trn,-9.974947053206655e-9
2012,edu,trn,-9.990910771418557e-9
2014,edu,trn,-9.99091067257396e-9
2013,edu,trn,-9.990910619060339e-9
1999,edu,trn,-9.974947430397157e-9
2002,edu,trn,-9.99091145070745e-9
2017,edu,trn,-9.990910755684751e-9
2016,edu,trn,-9.974945489837683e-9
2015,edu,trn,-9.974945500409606e-9
1998,edu,trn,-9.97494664921821e-9
2004,edu,trn,-9.974947415249263e-9
2000,edu,trn,-9.990911218635767e-9
1997,edu,trn,-9.974945458947561e-9
2007,edu,trn,-9.974947292802855e-9
2010,edu,trn,-9.974946846863348e-9
2003,edu,trn,-9.990911348084962e-9
2011,edu,trn,-9.974946879554381e-9
2001,edu,trn,-9.990911274403754e-9
2008,ote,trn,-9.97494707632395e-9
2009,ote,trn,-9.974946535779775e-9
2005,ote,trn,-9.974947015648354e-9
2006,ote,trn,-9.97494696369102e-9
2012,ote,trn,-9.990910755659995e-9
2014,ote,trn,-9.990910645149393e-9
2013,ote,trn,-9.990910600089345e-9
1999,ote,trn,-9.974947353075483e-9
2002,ote,trn,-9.990911409892319e-9
2017,ote,trn,-9.990910689273548e-9
2016,ote,trn,-9.97494573174859e-9
2015,ote,trn,-9.974945357332888e-9
1998,ote,trn,-9.974946564465722e-9
2004,ote,trn,-9.974947540049266e-9
2000,ote,trn,-9.990911663247836e-9
1997,ote,trn,-9.974945359291422e-9
2007,ote,trn,-9.974947208672328e-9
2010,ote,trn,-9.974946841245713e-9
2003,ote,trn,-9.990911391531765e-9
2011,ote,trn,-9.974946833572268e-9
2001,ote,trn,-9.990911290699712e-9
2008,man,trn,-9.974946727518105e-9
2009,man,trn,-9.974946351535451e-9
2005,man,trn,-9.974947184019467e-9
2006,man,trn,-9.974947149540214e-9
2012,man,trn,-9.990910800123627e-9
2014,man,trn,-9.990910689970349e-9
2013,man,trn,-9.990910646191792e-9
1999,man,trn,-9.97494744703501e-9
2002,man,trn,-9.990911462231082e-9
2017,man,trn,-9.990910748142322e-9
2016,man,trn,-9.974945533529461e-9
2015,man,trn,-9.974945509548482e-9
1998,man,trn,-9.974946670404172e-9
2004,man,trn,-9.974947485590475e-9
2000,man,trn,-9.990911209857842e-9
1997,man,trn,-9.974945461040835e-9
2007,man,trn,-9.974947353245508e-9
2010,man,trn,-9.97494695891043e-9
2003,man,trn,-9.990911366328243e-9
2011,man,trn,-9.974946946088725e-9
2001,man,trn,-9.990911298487077e-9
2008,mch,trn,-9.974946776565705e-9
2009,mch,trn,-9.97494694255965e-9
2005,mch,trn,-9.974946796397666e-9
2006,mch,trn,-9.974946776280084e-9
2012,mch,trn,-9.99091069007529e-9
2014,mch,trn,-9.990910580039878e-9
2013,mch,trn,-9.990910534982781e-9
1999,mch,trn,-9.974947071616569e-9
2002,mch,trn,-9.990911328572479e-9
2017,mch,trn,-9.99091060970204e-9
2016,mch,trn,-9.974945207549878e-9
2015,mch,trn,-9.974945124820558e-9
1998,mch,trn,-9.974946302200998e-9
2004,mch,trn,-9.97494710716738e-9
2000,mch,trn,-9.990911110146186e-9
1997,mch,trn,-9.974945113692118e-9
2007,mch,trn,-9.974947019238482e-9
2010,mch,trn,-9.97494663266952e-9
2003,mch,trn,-9.990911249053876e-9
2011,mch,trn,-9.974946633565075e-9
2001,mch,trn,-9.990911355360644e-9
2008,dat,trn,-9.974946868603263e-9
2009,dat,trn,-9.974946332967987e-9
2005,dat,trn,-9.974947262045502e-9
2006,dat,trn,-9.974947207311514e-9
2012,dat,trn,-9.990910811534492e-9
2014,dat,trn,-9.99091069778276e-9
2013,dat,trn,-9.990910649593989e-9
1999,dat,trn,-9.974942978662888e-9
2002,dat,trn,-9.990911489352587e-9
2017,dat,trn,-9.990910750345866e-9
2016,dat,trn,-9.974945538929564e-9
2015,dat,trn,-9.974945530903093e-9
1998,dat,trn,-9.97494676538562e-9
2004,dat,trn,-9.974947573897968e-9
2000,dat,trn,-9.990908784480264e-9
1997,dat,trn,-9.974945545922941e-9
2007,dat,trn,-9.974947409180869e-9
2010,dat,trn,-9.974946987198074e-9
2003,dat,trn,-9.99091139489167e-9
2011,dat,trn,-9.97494696269306e-9
2001,dat,trn,-9.99090943589954e-9
2008,amd,trn,-9.974946827204342e-9
2009,amd,trn,-9.974946227115969e-9
2005,amd,trn,-9.974947166164392e-9
2006,amd,trn,-9.97494711494379e-9
2012,amd,trn,-9.990910801536999e-9
2014,amd,trn,-9.990910692103719e-9
2013,amd,trn,-9.990910642720341e-9
1999,amd,trn,-9.974947447240567e-9
2002,amd,trn,-9.990911459735251e-9
2017,amd,trn,-9.9909107564936e-9
2016,amd,trn,-9.974945536558232e-9
2015,amd,trn,-9.974945528049085e-9
1998,amd,trn,-9.974946678925807e-9
2004,amd,trn,-9.974947472403216e-9
2000,amd,trn,-9.990911206772556e-9
1997,amd,trn,-9.974945456314756e-9
2007,amd,trn,-9.974947335468459e-9
2010,amd,trn,-9.974946925577324e-9
2003,amd,trn,-9.990911360083187e-9
2011,amd,trn,-9.974946927368534e-9
2001,amd,trn,-9.990911280213141e-9
2008,oil,trn,-9.974946657653613e-9
2009,oil,trn,-9.974945959119602e-9
2005,oil,trn,-9.974946852113844e-9
2006,oil,trn,-9.974946789974073e-9
2012,oil,trn,-9.990910669835826e-9
2014,oil,trn,-9.990910561827456e-9
2013,oil,trn,-9.990910541877881e-9
1999,oil,trn,-9.97494676687819e-9
2002,oil,trn,-9.990911336316441e-9
2017,oil,trn,-9.990910669032265e-9
2016,oil,trn,-9.974945024513986e-9
2015,oil,trn,-9.974945023894789e-9
1998,oil,trn,-9.974945894312803e-9
2004,oil,trn,-9.974947062912417e-9
2000,oil,trn,-9.990911105417255e-9
1997,oil,trn,-9.974944867130364e-9
2007,oil,trn,-9.974946990491185e-9
2010,oil,trn,-9.974946529248666e-9
2003,oil,trn,-9.990911195593402e-9
2011,oil,trn,-9.9749465758802e-9
2001,oil,trn,-9.990911129974836e-9
2008,hos,trn,-9.974946839735617e-9
2009,hos,trn,-9.974946073810326e-9
2005,hos,trn,-9.974947021564926e-9
2006,hos,trn,-9.974946982439829e-9
2012,hos,trn,-9.990910750285652e-9
2014,hos,trn,-9.990910641004188e-9
2013,hos,trn,-9.990910591016095e-9
1999,hos,trn,-9.974947333870505e-9
2002,hos,trn,-9.990911410906259e-9
2017,hos,trn,-9.990910703290483e-9
2016,hos,trn,-9.97494540137038e-9
2015,hos,trn,-9.974945398902807e-9
1998,hos,trn,-9.974946555855852e-9
2004,hos,trn,-9.97494732098242e-9
2000,hos,trn,-9.990911192734063e-9
1997,hos,trn,-9.974945328885141e-9
2007,hos,trn,-9.974947227433865e-9
2010,hos,trn,-9.974946790035142e-9
2003,hos,trn,-9.990911308562168e-9
2011,hos,trn,-9.974946814283597e-9
2001,hos,trn,-9.990911236839959e-9
2008,rnt,trn,-9.974946713111022e-9
2009,rnt,trn,-9.974946308180854e-9
2005,rnt,trn,-9.974947156033985e-9
2006,rnt,trn,-9.97494713171883e-9
2012,rnt,trn,-9.990910811523737e-9
2014,rnt,trn,-9.99091069896479e-9
2013,rnt,trn,-9.990910651495333e-9
1999,rnt,trn,-9.974947420159571e-9
2002,rnt,trn,-9.990911436442949e-9
2017,rnt,trn,-9.990910760907854e-9
2016,rnt,trn,-9.974945560373996e-9
2015,rnt,trn,-9.974945537806127e-9
1998,rnt,trn,-9.974946679313638e-9
2004,rnt,trn,-9.974947457115989e-9
2000,rnt,trn,-9.990911190397356e-9
1997,rnt,trn,-9.974945449078402e-9
2007,rnt,trn,-9.974947317958734e-9
2010,rnt,trn,-9.974946955102418e-9
2003,rnt,trn,-9.990911351935433e-9
2011,rnt,trn,-9.974946911632272e-9
2001,rnt,trn,-9.990911280478769e-9
2008,pla,trn,-9.974946802024415e-9
2009,pla,trn,-9.974946500635888e-9
2005,pla,trn,-9.974946736006983e-9
2006,pla,trn,-9.974946681171974e-9
2012,pla,trn,-9.990910653456452e-9
2014,pla,trn,-9.990910535873905e-9
2013,pla,trn,-9.990910488991662e-9
1999,pla,trn,-9.974946988167646e-9
2002,pla,trn,-9.990911302720264e-9
2017,pla,trn,-9.99091057687543e-9
2016,pla,trn,-9.974945064232598e-9
