yr,i,fd,value
2008,ppd,fed_structures,0.0
2009,ppd,fed_structures,0.0
2005,ppd,fed_structures,0.0
2006,ppd,fed_structures,0.0
2012,ppd,fed_structures,0.0
2014,ppd,fed_structures,0.0
2013,ppd,fed_structures,0.0
1999,ppd,fed_structures,0.0
2002,ppd,fed_structures,0.0
2017,ppd,fed_structures,0.0
2016,ppd,fed_structures,0.0
2015,ppd,fed_structures,0.0
1998,ppd,fed_structures,0.0
2004,ppd,fed_structures,0.0
2000,ppd,fed_structures,0.0
1997,ppd,fed_structures,0.0
2007,ppd,fed_structures,0.0
2010,ppd,fed_structures,0.0
2003,ppd,fed_structures,0.0
2011,ppd,fed_structures,0.0
2001,ppd,fed_structures,0.0
2008,res,fed_structures,0.0
2009,res,fed_structures,0.0
2005,res,fed_structures,0.0
2006,res,fed_structures,0.0
2012,res,fed_structures,0.0
2014,res,fed_structures,0.0
2013,res,fed_structures,0.0
1999,res,fed_structures,0.0
2002,res,fed_structures,0.0
2017,res,fed_structures,0.0
2016,res,fed_structures,0.0
2015,res,fed_structures,0.0
1998,res,fed_structures,0.0
2004,res,fed_structures,0.0
2000,res,fed_structures,0.0
1997,res,fed_structures,0.0
2007,res,fed_structures,0.0
2010,res,fed_structures,0.0
2003,res,fed_structures,0.0
2011,res,fed_structures,0.0
2001,res,fed_structures,0.0
2008,com,fed_structures,0.0
2009,com,fed_structures,0.0
2005,com,fed_structures,0.0
2006,com,fed_structures,0.0
2012,com,fed_structures,0.0
2014,com,fed_structures,0.0
2013,com,fed_structures,0.0
1999,com,fed_structures,0.0
2002,com,fed_structures,0.0
2017,com,fed_structures,0.0
2016,com,fed_structures,0.0
2015,com,fed_structures,0.0
1998,com,fed_structures,0.0
2004,com,fed_structures,0.0
2000,com,fed_structures,0.0
1997,com,fed_structures,0.0
2007,com,fed_structures,0.0
2010,com,fed_structures,0.0
2003,com,fed_structures,0.0
2011,com,fed_structures,0.0
2001,com,fed_structures,0.0
2008,amb,fed_structures,0.0
2009,amb,fed_structures,0.0
2005,amb,fed_structures,0.0
2006,amb,fed_structures,0.0
2012,amb,fed_structures,0.0
2014,amb,fed_structures,0.0
2013,amb,fed_structures,0.0
1999,amb,fed_structures,0.0
2002,amb,fed_structures,0.0
2017,amb,fed_structures,0.0
2016,amb,fed_structures,0.0
2015,amb,fed_structures,0.0
1998,amb,fed_structures,0.0
2004,amb,fed_structures,0.0
2000,amb,fed_structures,0.0
1997,amb,fed_structures,0.0
2007,amb,fed_structures,0.0
2010,amb,fed_structures,0.0
2003,amb,fed_structures,0.0
2011,amb,fed_structures,0.0
2001,amb,fed_structures,0.0
2008,fbp,fed_structures,0.0
2009,fbp,fed_structures,0.0
2005,fbp,fed_structures,0.0
2006,fbp,fed_structures,0.0
2012,fbp,fed_structures,0.0
2014,fbp,fed_structures,0.0
2013,fbp,fed_structures,0.0
1999,fbp,fed_structures,0.0
2002,fbp,fed_structures,0.0
2017,fbp,fed_structures,0.0
2016,fbp,fed_structures,0.0
2015,fbp,fed_structures,0.0
1998,fbp,fed_structures,0.0
2004,fbp,fed_structures,0.0
2000,fbp,fed_structures,0.0
1997,fbp,fed_structures,0.0
2007,fbp,fed_structures,0.0
2010,fbp,fed_structures,0.0
2003,fbp,fed_structures,0.0
2011,fbp,fed_structures,0.0
2001,fbp,fed_structures,0.0
2008,rec,fed_structures,0.0
2009,rec,fed_structures,0.0
2005,rec,fed_structures,0.0
2006,rec,fed_structures,0.0
2012,rec,fed_structures,0.0
2014,rec,fed_structures,0.0
2013,rec,fed_structures,0.0
1999,rec,fed_structures,0.0
2002,rec,fed_structures,0.0
2017,rec,fed_structures,0.0
2016,rec,fed_structures,0.0
2015,rec,fed_structures,0.0
1998,rec,fed_structures,0.0
2004,rec,fed_structures,0.0
2000,rec,fed_structures,0.0
1997,rec,fed_structures,0.0
2007,rec,fed_structures,0.0
2010,rec,fed_structures,0.0
2003,rec,fed_structures,0.0
2011,rec,fed_structures,0.0
2001,rec,fed_structures,0.0
2008,con,fed_structures,0.0
2009,con,fed_structures,0.0
2005,con,fed_structures,0.0
2006,con,fed_structures,0.0
2012,con,fed_structures,0.0
2014,con,fed_structures,0.0
2013,con,fed_structures,0.0
1999,con,fed_structures,0.0
2002,con,fed_structures,0.0
2017,con,fed_structures,0.0
2016,con,fed_structures,0.0
2015,con,fed_structures,0.0
1998,con,fed_structures,0.0
2004,con,fed_structures,0.0
2000,con,fed_structures,0.0
1997,con,fed_structures,0.0
2007,con,fed_structures,0.0
2010,con,fed_structures,0.0
2003,con,fed_structures,0.0
2011,con,fed_structures,0.0
2001,con,fed_structures,0.0
2008,agr,fed_structures,0.0
2009,agr,fed_structures,0.0
2005,agr,fed_structures,0.0
2006,agr,fed_structures,0.0
2012,agr,fed_structures,0.0
2014,agr,fed_structures,0.0
2013,agr,fed_structures,0.0
1999,agr,fed_structures,0.0
2002,agr,fed_structures,0.0
2017,agr,fed_structures,0.0
2016,agr,fed_structures,0.0
2015,agr,fed_structures,0.0
1998,agr,fed_structures,0.0
2004,agr,fed_structures,0.0
2000,agr,fed_structures,0.0
1997,agr,fed_structures,0.0
2007,agr,fed_structures,0.0
2010,agr,fed_structures,0.0
2003,agr,fed_structures,0.0
2011,agr,fed_structures,0.0
2001,agr,fed_structures,0.0
2008,eec,fed_structures,0.0
2009,eec,fed_structures,0.0
2005,eec,fed_structures,0.0
2006,eec,fed_structures,0.0
2012,eec,fed_structures,0.0
2014,eec,fed_structures,0.0
2013,eec,fed_structures,0.0
1999,eec,fed_structures,0.0
2002,eec,fed_structures,0.0
2017,eec,fed_structures,0.0
2016,eec,fed_structures,0.0
2015,eec,fed_structures,0.0
1998,eec,fed_structures,0.0
2004,eec,fed_structures,0.0
2000,eec,fed_structures,0.0
1997,eec,fed_structures,0.0
2007,eec,fed_structures,0.0
2010,eec,fed_structures,0.0
2003,eec,fed_structures,0.0
2011,eec,fed_structures,0.0
2001,eec,fed_structures,0.0
2008,use,fed_structures,0.0
2009,use,fed_structures,0.0
2005,use,fed_structures,0.0
2006,use,fed_structures,0.0
2012,use,fed_structures,0.0
2014,use,fed_structures,0.0
2013,use,fed_structures,0.0
1999,use,fed_structures,0.0
2002,use,fed_structures,0.0
2017,use,fed_structures,0.0
2016,use,fed_structures,0.0
2015,use,fed_structures,0.0
1998,use,fed_structures,0.0
2004,use,fed_structures,0.0
2000,use,fed_structures,0.0
1997,use,fed_structures,0.0
2007,use,fed_structures,0.0
2010,use,fed_structures,0.0
2003,use,fed_structures,0.0
2011,use,fed_structures,0.0
2001,use,fed_structures,0.0
2008,fnd,fed_structures,0.0
2009,fnd,fed_structures,0.0
2005,fnd,fed_structures,0.0
2006,fnd,fed_structures,0.0
2012,fnd,fed_structures,0.0
2014,fnd,fed_structures,0.0
2013,fnd,fed_structures,0.0
1999,fnd,fed_structures,0.0
2002,fnd,fed_structures,0.0
2017,fnd,fed_structures,0.0
2016,fnd,fed_structures,0.0
2015,fnd,fed_structures,0.0
1998,fnd,fed_structures,0.0
2004,fnd,fed_structures,0.0
2000,fnd,fed_structures,0.0
1997,fnd,fed_structures,0.0
2007,fnd,fed_structures,0.0
2010,fnd,fed_structures,0.0
2003,fnd,fed_structures,0.0
2011,fnd,fed_structures,0.0
2001,fnd,fed_structures,0.0
2008,pub,fed_structures,0.0
2009,pub,fed_structures,0.0
2005,pub,fed_structures,0.0
2006,pub,fed_structures,0.0
2012,pub,fed_structures,0.0
2014,pub,fed_structures,0.0
2013,pub,fed_structures,0.0
1999,pub,fed_structures,0.0
2002,pub,fed_structures,0.0
2017,pub,fed_structures,0.0
2016,pub,fed_structures,0.0
2015,pub,fed_structures,0.0
1998,pub,fed_structures,0.0
2004,pub,fed_structures,0.0
2000,pub,fed_structures,0.0
1997,pub,fed_structures,0.0
2007,pub,fed_structures,0.0
2010,pub,fed_structures,0.0
2003,pub,fed_structures,0.0
2011,pub,fed_structures,0.0
2001,pub,fed_structures,0.0
2008,hou,fed_structures,0.0
2009,hou,fed_structures,0.0
2005,hou,fed_structures,0.0
2006,hou,fed_structures,0.0
2012,hou,fed_structures,0.0
2014,hou,fed_structures,0.0
2013,hou,fed_structures,0.0
1999,hou,fed_structures,0.0
2002,hou,fed_structures,0.0
2017,hou,fed_structures,0.0
2016,hou,fed_structures,0.0
2015,hou,fed_structures,0.0
1998,hou,fed_structures,0.0
2004,hou,fed_structures,0.0
2000,hou,fed_structures,0.0
1997,hou,fed_structures,0.0
2007,hou,fed_structures,0.0
2010,hou,fed_structures,0.0
2003,hou,fed_structures,0.0
2011,hou,fed_structures,0.0
2001,hou,fed_structures,0.0
2008,fbt,fed_structures,0.0
2009,fbt,fed_structures,0.0
2005,fbt,fed_structures,0.0
2006,fbt,fed_structures,0.0
2012,fbt,fed_structures,0.0
2014,fbt,fed_structures,0.0
2013,fbt,fed_structures,0.0
1999,fbt,fed_structures,0.0
2002,fbt,fed_structures,0.0
2017,fbt,fed_structures,0.0
2016,fbt,fed_structures,0.0
2015,fbt,fed_structures,0.0
1998,fbt,fed_structures,0.0
2004,fbt,fed_structures,0.0
2000,fbt,fed_structures,0.0
1997,fbt,fed_structures,0.0
2007,fbt,fed_structures,0.0
2010,fbt,fed_structures,0.0
2003,fbt,fed_structures,0.0
2011,fbt,fed_structures,0.0
2001,fbt,fed_structures,0.0
2008,ins,fed_structures,0.0
2009,ins,fed_structures,0.0
2005,ins,fed_structures,0.0
2006,ins,fed_structures,0.0
2012,ins,fed_structures,0.0
2014,ins,fed_structures,0.0
