uni_0,uni_1,uni_2,uni_3,value
TN,2012,1119,millions of us dollars (USD),314.419
TN,2012,11211,millions of us dollars (USD),27.262999999999998
TN,2012,11212,millions of us dollars (USD),11.399
TN,2012,1123,millions of us dollars (USD),7.284999999999999
TN,2012,1124,millions of us dollars (USD),0.261
TN,2012,1129,millions of us dollars (USD),3.042
TN,2017,11111,millions of us dollars (USD),600.342
TN,2017,11115,millions of us dollars (USD),195.369
TN,2017,11119,millions of us dollars (USD),481.143
TN,2017,1112,millions of us dollars (USD),92.38
TN,2017,1113,millions of us dollars (USD),16.551
TN,2017,1114,millions of us dollars (USD),297.827
TN,2017,1119,millions of us dollars (USD),400.462
TN,2017,11211,millions of us dollars (USD),62.041
TN,2017,11212,millions of us dollars (USD),11.814
TN,2017,1122,millions of us dollars (USD),12.524
TN,2017,1123,millions of us dollars (USD),7.431
TN,2017,1124,millions of us dollars (USD),0.534
TN,2017,1125,millions of us dollars (USD),0.004
TN,2017,1129,millions of us dollars (USD),2.747
TN,2017,11114,millions of us dollars (USD),1.23
WI,2012,11111,millions of us dollars (USD),166.69799999999998
WI,2012,11115,millions of us dollars (USD),1903.262
WI,2012,11119,millions of us dollars (USD),577.245
WI,2012,1112,millions of us dollars (USD),517.024
WI,2012,1113,millions of us dollars (USD),220.982
WI,2012,1114,millions of us dollars (USD),209.612
WI,2012,1119,millions of us dollars (USD),155.85299999999998
WI,2012,11211,millions of us dollars (USD),154.98
WI,2012,11212,millions of us dollars (USD),642.461
WI,2012,1122,millions of us dollars (USD),8.648
WI,2012,1123,millions of us dollars (USD),20.543
WI,2012,1124,millions of us dollars (USD),1.9729999999999999
WI,2012,1125,millions of us dollars (USD),0.06799999999999999
WI,2012,1129,millions of us dollars (USD),13.203999999999999
WI,2017,11111,millions of us dollars (USD),276.198
WI,2017,11115,millions of us dollars (USD),1300.8339999999998
WI,2017,11119,millions of us dollars (USD),515.978
WI,2017,1112,millions of us dollars (USD),532.1329999999999
WI,2017,1113,millions of us dollars (USD),177.06199999999998
WI,2017,1114,millions of us dollars (USD),276.86899999999997
WI,2017,1119,millions of us dollars (USD),159.68699999999998
WI,2017,11211,millions of us dollars (USD),191.411
WI,2017,11212,millions of us dollars (USD),588.475
WI,2017,1122,millions of us dollars (USD),9.176
WI,2017,1123,millions of us dollars (USD),17.689
WI,2017,1124,millions of us dollars (USD),3.025
WI,2017,1125,millions of us dollars (USD),0.072
WI,2017,1129,millions of us dollars (USD),14.472999999999999
RI,2012,11115,millions of us dollars (USD),0.039
RI,2012,1114,millions of us dollars (USD),32.669
RI,2012,11211,millions of us dollars (USD),0.047
RI,2012,11212,millions of us dollars (USD),0.355
RI,2012,1122,millions of us dollars (USD),0.002
RI,2012,1123,millions of us dollars (USD),0.001
RI,2017,1112,millions of us dollars (USD),8.773
RI,2017,1129,millions of us dollars (USD),0.11
AK,2017,1112,millions of us dollars (USD),5.927
AK,2017,1129,millions of us dollars (USD),0.243
WV,2012,11115,millions of us dollars (USD),15.718
WV,2012,11119,millions of us dollars (USD),9.522
WV,2012,1112,millions of us dollars (USD),8.235999999999999
WV,2012,1113,millions of us dollars (USD),25.776
WV,2012,1114,millions of us dollars (USD),32.515
WV,2012,1119,millions of us dollars (USD),24.336
WV,2012,11211,millions of us dollars (USD),11.431
