uni_0,uni_1,uni_2,uni_3,value
2008,TN,hce,millions of us dollars (USD),105969.2
2008,TN,utl,millions of us dollars (USD),30841.7
2008,TN,hea,millions of us dollars (USD),30300.4
2008,TN,rsr,millions of us dollars (USD),5979.9
2008,TN,htl,millions of us dollars (USD),11413.6
2008,TN,fsr,millions of us dollars (USD),11515.6
2008,TN,osr,millions of us dollars (USD),12256.5
2008,TN,npish,millions of us dollars (USD),2752.3
2008,TN,npi,millions of us dollars (USD),15651.2
2008,TN,nps,millions of us dollars (USD),12899.0
2008,WI,rec,millions of us dollars (USD),6343.4
2008,WI,trn,millions of us dollars (USD),5399.6
2008,WI,pce,millions of us dollars (USD),183245.8
2008,WI,gds,millions of us dollars (USD),61013.4
2008,WI,dur,millions of us dollars (USD),19506.7
2008,WI,mvp,millions of us dollars (USD),6180.6
2008,WI,hdr,millions of us dollars (USD),4551.7
2008,WI,odg,millions of us dollars (USD),2431.0
2008,WI,ndr,millions of us dollars (USD),41506.7
2008,WI,foo,millions of us dollars (USD),14249.5
2008,WI,clo,millions of us dollars (USD),4828.2
2008,WI,enr,millions of us dollars (USD),8639.2
2008,WI,ong,millions of us dollars (USD),13789.9
2008,WI,ser,millions of us dollars (USD),122232.4
2008,WI,hce,millions of us dollars (USD),115107.2
2008,WI,utl,millions of us dollars (USD),31747.2
2008,WI,hea,millions of us dollars (USD),33382.7
2008,WI,rsr,millions of us dollars (USD),7339.2
2008,WI,htl,millions of us dollars (USD),9823.7
2008,WI,fsr,millions of us dollars (USD),12754.2
2008,WI,osr,millions of us dollars (USD),14660.6
2008,WI,npish,millions of us dollars (USD),7125.2
2008,WI,npi,millions of us dollars (USD),20711.3
2008,WI,nps,millions of us dollars (USD),13586.1
2008,RI,rec,millions of us dollars (USD),836.1
2008,RI,trn,millions of us dollars (USD),966.5
2008,RI,pce,millions of us dollars (USD),36994.6
2008,RI,gds,millions of us dollars (USD),10819.0
2008,RI,dur,millions of us dollars (USD),3014.9
2008,RI,mvp,millions of us dollars (USD),958.8
2008,RI,hdr,millions of us dollars (USD),718.6
2008,RI,odg,millions of us dollars (USD),501.3
2008,RI,ndr,millions of us dollars (USD),7804.1
2008,RI,foo,millions of us dollars (USD),2690.6
2008,RI,clo,millions of us dollars (USD),934.4
2008,RI,enr,millions of us dollars (USD),1195.1
2008,RI,ong,millions of us dollars (USD),2984.0
2008,RI,ser,millions of us dollars (USD),26175.7
