year,state,windc_label,units,value
1999,MI,pce,millions of us dollars (USD),216244.2
1999,MN,pce,millions of us dollars (USD),122946.8
1999,MS,pce,millions of us dollars (USD),47346.0
1999,MO,pce,millions of us dollars (USD),123770.1
1999,MT,pce,millions of us dollars (USD),18215.3
1999,NE,pce,millions of us dollars (USD),36273.8
1999,NV,pce,millions of us dollars (USD),46167.1
1999,NH,pce,millions of us dollars (USD),31960.8
1999,NJ,pce,millions of us dollars (USD),219538.6
1999,NM,pce,millions of us dollars (USD),34380.0
1999,NY,pce,millions of us dollars (USD),434642.2
1999,NC,pce,millions of us dollars (USD),168624.2
1999,ND,pce,millions of us dollars (USD),13190.0
1999,OH,pce,millions of us dollars (USD),244679.6
1999,OK,pce,millions of us dollars (USD),63402.6
1999,OR,pce,millions of us dollars (USD),75645.5
1999,PA,pce,millions of us dollars (USD),286180.6
1999,RI,pce,millions of us dollars (USD),23393.7
1999,SC,pce,millions of us dollars (USD),80383.0
1999,SD,pce,millions of us dollars (USD),14585.2
1999,TN,pce,millions of us dollars (USD),118263.8
1999,TX,pce,millions of us dollars (USD),434458.2
1999,UT,pce,millions of us dollars (USD),41686.7
1999,VT,pce,millions of us dollars (USD),14585.6
1999,VA,pce,millions of us dollars (USD),162484.3
1999,WA,pce,millions of us dollars (USD),140900.9
1999,WV,pce,millions of us dollars (USD),33356.4
1999,WI,pce,millions of us dollars (USD),116623.1
1999,WY,pce,millions of us dollars (USD),10698.3
2000,US,pce,millions of us dollars (USD),6767179.0
2000,AL,pce,millions of us dollars (USD),89929.0
2000,AK,pce,millions of us dollars (USD),17079.7
2000,AZ,pce,millions of us dollars (USD),121307.4
2000,AR,pce,millions of us dollars (USD),50721.0
2000,CA,pce,millions of us dollars (USD),838174.0
2000,CO,pce,millions of us dollars (USD),116594.9
2000,CT,pce,millions of us dollars (USD),100843.2
2000,DE,pce,millions of us dollars (USD),21270.4
2000,DC,pce,millions of us dollars (USD),22397.9
2000,FL,pce,millions of us dollars (USD),412352.5
2000,GA,pce,millions of us dollars (USD),188692.1
2000,HI,pce,millions of us dollars (USD),30439.2
2000,ID,pce,millions of us dollars (USD),26082.3
2000,IL,pce,millions of us dollars (USD),311284.2
2000,IN,pce,millions of us dollars (USD),133628.2
2000,IA,pce,millions of us dollars (USD),63619.8
2000,KS,pce,millions of us dollars (USD),61411.4
2000,KY,pce,millions of us dollars (USD),83751.0
2000,LA,pce,millions of us dollars (USD),87610.6
2000,ME,pce,millions of us dollars (USD),31167.4
2000,MD,pce,millions of us dollars (USD),139635.9
2000,MA,pce,millions of us dollars (USD),189001.7
2000,MI,pce,millions of us dollars (USD),229744.6
2000,MN,pce,millions of us dollars (USD),133478.9
2000,MS,pce,millions of us dollars (USD),50425.5
2000,MO,pce,millions of us dollars (USD),132309.2
2000,MT,pce,millions of us dollars (USD),19466.4
2000,NE,pce,millions of us dollars (USD),38873.2
2000,NV,pce,millions of us dollars (USD),50610.4
2000,NH,pce,millions of us dollars (USD),34584.7
2000,NJ,pce,millions of us dollars (USD),236810.5
2000,NM,pce,millions of us dollars (USD),36468.1
2000,NY,pce,millions of us dollars (USD),467342.0
2000,NC,pce,millions of us dollars (USD),181767.1
2000,ND,pce,millions of us dollars (USD),13971.0
2000,OH,pce,millions of us dollars (USD),261025.6
2000,OK,pce,millions of us dollars (USD),67647.7
2000,OR,pce,millions of us dollars (USD),80905.2
2000,PA,pce,millions of us dollars (USD),306158.9
2000,RI,pce,millions of us dollars (USD),25345.4
2000,SC,pce,millions of us dollars (USD),86016.9
2000,SD,pce,millions of us dollars (USD),15553.0
2000,TN,pce,millions of us dollars (USD),126206.0
2000,TX,pce,millions of us dollars (USD),472005.9
2000,UT,pce,millions of us dollars (USD),44820.9
2000,VT,pce,millions of us dollars (USD),15688.6
2000,VA,pce,millions of us dollars (USD),175778.3
2000,WA,pce,millions of us dollars (USD),151834.2
2000,WV,pce,millions of us dollars (USD),35221.9
2000,WI,pce,millions of us dollars (USD),125128.5
2000,WY,pce,millions of us dollars (USD),11458.7
2001,US,pce,millions of us dollars (USD),7073801.0
2001,AL,pce,millions of us dollars (USD),93426.3
2001,AK,pce,millions of us dollars (USD),18093.4
2001,AZ,pce,millions of us dollars (USD),127156.3
2001,AR,pce,millions of us dollars (USD),52962.6
2001,CA,pce,millions of us dollars (USD),880192.8
2001,CO,pce,millions of us dollars (USD),122831.3
2001,CT,pce,millions of us dollars (USD),105200.4
2001,DE,pce,millions of us dollars (USD),22446.2
2001,DC,pce,millions of us dollars (USD),23136.4
2001,FL,pce,millions of us dollars (USD),432799.7
2001,GA,pce,millions of us dollars (USD),197679.7
2001,HI,pce,millions of us dollars (USD),31631.0
2001,ID,pce,millions of us dollars (USD),27268.4
2001,IL,pce,millions of us dollars (USD),321922.5
2001,IN,pce,millions of us dollars (USD),138688.2
2001,IA,pce,millions of us dollars (USD),65783.4
2001,KS,pce,millions of us dollars (USD),63799.7
2001,KY,pce,millions of us dollars (USD),86725.8
2001,LA,pce,millions of us dollars (USD),91219.7
2001,ME,pce,millions of us dollars (USD),32939.3
2001,MD,pce,millions of us dollars (USD),147369.6
2001,MA,pce,millions of us dollars (USD),199043.3
2001,MI,pce,millions of us dollars (USD),237983.4
2001,MN,pce,millions of us dollars (USD),139611.9
2001,MS,pce,millions of us dollars (USD),52806.8
2001,MO,pce,millions of us dollars (USD),138209.1
2001,MT,pce,millions of us dollars (USD),20467.8
2001,NE,pce,millions of us dollars (USD),40478.2
2001,NV,pce,millions of us dollars (USD),53759.1
2001,NH,pce,millions of us dollars (USD),36600.3
2001,NJ,pce,millions of us dollars (USD),249301.3
2001,NM,pce,millions of us dollars (USD),38026.0
2001,NY,pce,millions of us dollars (USD),486283.5
2001,NC,pce,millions of us dollars (USD),188665.1
2001,ND,pce,millions of us dollars (USD),14725.9
2001,OH,pce,millions of us dollars (USD),271659.1
2001,OK,pce,millions of us dollars (USD),70755.9
2001,OR,pce,millions of us dollars (USD),83903.8
2001,PA,pce,millions of us dollars (USD),319605.1
2001,RI,pce,millions of us dollars (USD),26639.2
2001,SC,pce,millions of us dollars (USD),89509.3
2001,SD,pce,millions of us dollars (USD),16289.6
2001,TN,pce,millions of us dollars (USD),129992.3
2001,TX,pce,millions of us dollars (USD),498607.6
2001,UT,pce,millions of us dollars (USD),46874.3
2001,VT,pce,millions of us dollars (USD),16616.9
2001,VA,pce,millions of us dollars (USD),184652.3
2001,WA,pce,millions of us dollars (USD),156491.9
2001,WV,pce,millions of us dollars (USD),36582.9
2001,WI,pce,millions of us dollars (USD),130713.5
2001,WY,pce,millions of us dollars (USD),11914.4
2002,US,pce,millions of us dollars (USD),7348941.0
2002,AL,pce,millions of us dollars (USD),97418.0
2002,AK,pce,millions of us dollars (USD),19397.3
2002,AZ,pce,millions of us dollars (USD),133548.3
2002,AR,pce,millions of us dollars (USD),55015.9
2002,CA,pce,millions of us dollars (USD),918029.2
2002,CO,pce,millions of us dollars (USD),126297.0
2002,CT,pce,millions of us dollars (USD),109418.2
2002,DE,pce,millions of us dollars (USD),23619.9
2002,DC,pce,millions of us dollars (USD),24138.4
2002,FL,pce,millions of us dollars (USD),448027.0
2002,GA,pce,millions of us dollars (USD),205247.2
2002,HI,pce,millions of us dollars (USD),32783.4
2002,ID,pce,millions of us dollars (USD),28364.7
2002,IL,pce,millions of us dollars (USD),331174.3
2002,IN,pce,millions of us dollars (USD),143391.5
2002,IA,pce,millions of us dollars (USD),67374.4
2002,KS,pce,millions of us dollars (USD),65448.6
2002,KY,pce,millions of us dollars (USD),90052.0
2002,LA,pce,millions of us dollars (USD),94668.2
2002,ME,pce,millions of us dollars (USD),34841.6
2002,MD,pce,millions of us dollars (USD),153857.9
2002,MA,pce,millions of us dollars (USD),206134.2
2002,MI,pce,millions of us dollars (USD),245855.3
2002,MN,pce,millions of us dollars (USD),145385.1
2002,MS,pce,millions of us dollars (USD),55229.0
2002,MO,pce,millions of us dollars (USD),143904.1
2002,MT,pce,millions of us dollars (USD),21614.6
2002,NE,pce,millions of us dollars (USD),41678.9
2002,NV,pce,millions of us dollars (USD),57068.2
2002,NH,pce,millions of us dollars (USD),38501.0
2002,NJ,pce,millions of us dollars (USD),261664.4
2002,NM,pce,millions of us dollars (USD),39645.7
2002,NY,pce,millions of us dollars (USD),504179.9
2002,NC,pce,millions of us dollars (USD),194259.5
2002,ND,pce,millions of us dollars (USD),15415.9
2002,OH,pce,millions of us dollars (USD),280788.5
2002,OK,pce,millions of us dollars (USD),72822.0
