windc_label,state,year,units,value
col,AK,1999,million metric tons of carbon dioxide,1.560873578544811
col,AZ,1999,million metric tons of carbon dioxide,38.38234416482849
col,AR,1999,million metric tons of carbon dioxide,25.41555258766207
col,CA,1999,million metric tons of carbon dioxide,6.592217105609333
col,CO,1999,million metric tons of carbon dioxide,34.66964667519058
col,CT,1999,million metric tons of carbon dioxide,1.44999181718284
col,DE,1999,million metric tons of carbon dioxide,3.416783905923935
col,DC,1999,million metric tons of carbon dioxide,0.0143800264564956
col,FL,1999,million metric tons of carbon dioxide,68.17140682036315
col,GA,1999,million metric tons of carbon dioxide,74.47421928541243
col,HI,1999,million metric tons of carbon dioxide,1.682523613425858
col,ID,1999,million metric tons of carbon dioxide,0.7551574127607523
col,IL,1999,million metric tons of carbon dioxide,91.0350177583722
col,IN,1999,million metric tons of carbon dioxide,140.0263722138848
col,IA,1999,million metric tons of carbon dioxide,41.08847719653686
col,KS,1999,million metric tons of carbon dioxide,31.34839136046325
col,KY,1999,million metric tons of carbon dioxide,93.89705553563768
col,LA,1999,million metric tons of carbon dioxide,21.67517181025956
col,ME,1999,million metric tons of carbon dioxide,0.6516927471341839
col,MD,1999,million metric tons of carbon dioxide,29.0415069767864
col,MA,1999,million metric tons of carbon dioxide,10.81526992009582
col,MI,1999,million metric tons of carbon dioxide,79.01678361907831
col,MN,1999,million metric tons of carbon dioxide,32.48607945462734
col,MS,1999,million metric tons of carbon dioxide,13.09752651113786
col,MO,1999,million metric tons of carbon dioxide,65.40162443170746
col,MT,1999,million metric tons of carbon dioxide,17.77850351917661
col,NE,1999,million metric tons of carbon dioxide,18.89144970984603
col,NV,1999,million metric tons of carbon dioxide,17.28547913548734
col,NH,1999,million metric tons of carbon dioxide,3.37083522290472
col,NJ,1999,million metric tons of carbon dioxide,8.471049788315401
col,NM,1999,million metric tons of carbon dioxide,28.37853604922524
col,NY,1999,million metric tons of carbon dioxide,30.14945791207338
col,NC,1999,million metric tons of carbon dioxide,70.64934282918075
col,ND,1999,million metric tons of carbon dioxide,39.1037005463322
col,OH,1999,million metric tons of carbon dioxide,131.3880319880325
col,OK,1999,million metric tons of carbon dioxide,34.3185246838809
col,OR,1999,million metric tons of carbon dioxide,3.675091092843191
col,PA,1999,million metric tons of carbon dioxide,134.106820906091
col,RI,1999,million metric tons of carbon dioxide,0.003904510494810064
col,SC,1999,million metric tons of carbon dioxide,38.25642619729771
col,SD,1999,million metric tons of carbon dioxide,4.402860699640613
col,TN,1999,million metric tons of carbon dioxide,61.67132614234472
col,TX,1999,million metric tons of carbon dioxide,145.6576064121763
col,UT,1999,million metric tons of carbon dioxide,36.49087574774567
col,VT,1999,million metric tons of carbon dioxide,0.1906242324488107
col,VA,1999,million metric tons of carbon dioxide,42.2017531057511
col,WA,1999,million metric tons of carbon dioxide,9.221147027859772
col,WV,1999,million metric tons of carbon dioxide,94.382142063413
col,WI,1999,million metric tons of carbon dioxide,45.74009812775955
col,WY,1999,million metric tons of carbon dioxide,47.20906412145126
col,US,1999,million metric tons of carbon dioxide,2051.426571833656
col,AL,2000,million metric tons of carbon dioxide,85.91445301381151
col,AK,2000,million metric tons of carbon dioxide,1.568235749484648
col,AZ,2000,million metric tons of carbon dioxide,41.21918202535274
col,AR,2000,million metric tons of carbon dioxide,25.48343398846276
col,CA,2000,million metric tons of carbon dioxide,6.627284136760746
col,CO,2000,million metric tons of carbon dioxide,36.94476934963281
col,CT,2000,million metric tons of carbon dioxide,3.453143476633036
col,DE,2000,million metric tons of carbon dioxide,4.773236146485317
col,DC,2000,million metric tons of carbon dioxide,0.01687339030970121
col,FL,2000,million metric tons of carbon dioxide,72.41762141495077
col,GA,2000,million metric tons of carbon dioxide,78.02982962766967
