year,state,windc_label,units,value
1999,MI,totrev,millions of us dollars (USD),46724.414000000004
1999,MN,totrev,millions of us dollars (USD),25089.186
1999,MS,totrev,millions of us dollars (USD),10700.917
1999,MO,totrev,millions of us dollars (USD),19228.157
1999,MT,totrev,millions of us dollars (USD),3725.321
1999,NE,totrev,millions of us dollars (USD),5575.535
1999,NV,totrev,millions of us dollars (USD),7572.93
1999,NH,totrev,millions of us dollars (USD),4024.27
1999,NJ,totrev,millions of us dollars (USD),39149.997
1999,NM,totrev,millions of us dollars (USD),8756.881
1999,NY,totrev,millions of us dollars (USD),102241.86200000001
1999,NC,totrev,millions of us dollars (USD),34063.932
1999,ND,totrev,millions of us dollars (USD),2961.639
1999,OH,totrev,millions of us dollars (USD),51274.647000000004
1999,OK,totrev,millions of us dollars (USD),11935.084
1999,OR,totrev,millions of us dollars (USD),15666.106
1999,PA,totrev,millions of us dollars (USD),49481.716
1999,RI,totrev,millions of us dollars (USD),5478.183
1999,SC,totrev,millions of us dollars (USD),14566.262
1999,SD,totrev,millions of us dollars (USD),2885.858
1999,TN,totrev,millions of us dollars (USD),16777.508
1999,TX,totrev,millions of us dollars (USD),71648.633
1999,UT,totrev,millions of us dollars (USD),8742.192000000001
1999,VT,totrev,millions of us dollars (USD),2668.67
1999,VA,totrev,millions of us dollars (USD),26138.391
1999,WA,totrev,millions of us dollars (USD),28737.067
1999,WV,totrev,millions of us dollars (USD),7888.177000000001
1999,WI,totrev,millions of us dollars (USD),28334.13
1999,WY,totrev,millions of us dollars (USD),3092.259
2000,AL,totrev,millions of us dollars (USD),16856.646
2000,AK,totrev,millions of us dollars (USD),8584.447
2000,AZ,totrev,millions of us dollars (USD),16315.482
2000,AR,totrev,millions of us dollars (USD),10789.380000000001
2000,CA,totrev,millions of us dollars (USD),172480.67500000002
2000,CO,totrev,millions of us dollars (USD),17059.603
2000,CT,totrev,millions of us dollars (USD),18007.128
2000,DE,totrev,millions of us dollars (USD),5161.88
2000,FL,totrev,millions of us dollars (USD),51621.214
2000,GA,totrev,millions of us dollars (USD),29629.804
2000,HI,totrev,millions of us dollars (USD),6940.637
2000,ID,totrev,millions of us dollars (USD),5576.304
2000,IL,totrev,millions of us dollars (USD),48524.287000000004
2000,IN,totrev,millions of us dollars (USD),20456.388
2000,IA,totrev,millions of us dollars (USD),11339.583
2000,KS,totrev,millions of us dollars (USD),10393.893
2000,KY,totrev,millions of us dollars (USD),19450.661
2000,LA,totrev,millions of us dollars (USD),18788.215
2000,ME,totrev,millions of us dollars (USD),6293.691
2000,MD,totrev,millions of us dollars (USD),21365.68
2000,MA,totrev,millions of us dollars (USD),32010.543
2000,MI,totrev,millions of us dollars (USD),49511.738
2000,MN,totrev,millions of us dollars (USD),26888.592
2000,MS,totrev,millions of us dollars (USD),12181.06
2000,MO,totrev,millions of us dollars (USD),20309.319
2000,MT,totrev,millions of us dollars (USD),4204.317
2000,NE,totrev,millions of us dollars (USD),6184.993
2000,NV,totrev,millions of us dollars (USD),7285.079
2000,NH,totrev,millions of us dollars (USD),4993.168
2000,NJ,totrev,millions of us dollars (USD),42341.299
2000,NM,totrev,millions of us dollars (USD),10570.408
2000,NY,totrev,millions of us dollars (USD),111397.057
2000,NC,totrev,millions of us dollars (USD),34361.454
2000,ND,totrev,millions of us dollars (USD),3295.404
2000,OH,totrev,millions of us dollars (USD),55273.628000000004
2000,OK,totrev,millions of us dollars (USD),13116.235
2000,OR,totrev,millions of us dollars (USD),21013.584
2000,PA,totrev,millions of us dollars (USD),54517.356
2000,RI,totrev,millions of us dollars (USD),5589.182
2000,SC,totrev,millions of us dollars (USD),15965.831
2000,SD,totrev,millions of us dollars (USD),2901.148
2000,TN,totrev,millions of us dollars (USD),18969.875
2000,TX,totrev,millions of us dollars (USD),72322.692
2000,UT,totrev,millions of us dollars (USD),10227.355
2000,VT,totrev,millions of us dollars (USD),3291.905
2000,VA,totrev,millions of us dollars (USD),29409.003
2000,WA,totrev,millions of us dollars (USD),30615.762000000002
2000,WV,totrev,millions of us dollars (USD),8591.389000000001
2000,WI,totrev,millions of us dollars (USD),32118.867000000002
2000,WY,totrev,millions of us dollars (USD),5740.3330000000005
2001,AL,totrev,millions of us dollars (USD),17859.899
2001,AK,totrev,millions of us dollars (USD),6185.917
2001,AZ,totrev,millions of us dollars (USD),15488.897
2001,AR,totrev,millions of us dollars (USD),10330.394
2001,CA,totrev,millions of us dollars (USD),176080.892
2001,CO,totrev,millions of us dollars (USD),19774.425
2001,CT,totrev,millions of us dollars (USD),17750.445
2001,DE,totrev,millions of us dollars (USD),5114.008
2001,FL,totrev,millions of us dollars (USD),46370.565
2001,GA,totrev,millions of us dollars (USD),25250.019
2001,HI,totrev,millions of us dollars (USD),6591.146
2001,ID,totrev,millions of us dollars (USD),5286.097
2001,IL,totrev,millions of us dollars (USD),47348.197
2001,IN,totrev,millions of us dollars (USD),20766.968
2001,IA,totrev,millions of us dollars (USD),10255.453
2001,KS,totrev,millions of us dollars (USD),8713.237000000001
2001,KY,totrev,millions of us dollars (USD),18550.297
2001,LA,totrev,millions of us dollars (USD),17811.457000000002
2001,ME,totrev,millions of us dollars (USD),5207.414
2001,MD,totrev,millions of us dollars (USD),20938.683
2001,MA,totrev,millions of us dollars (USD),29303.913
2001,MI,totrev,millions of us dollars (USD),43346.782
2001,MN,totrev,millions of us dollars (USD),26135.477
2001,MS,totrev,millions of us dollars (USD),11692.949
2001,MO,totrev,millions of us dollars (USD),20133.937
2001,MT,totrev,millions of us dollars (USD),4224.359
2001,NE,totrev,millions of us dollars (USD),5943.9220000000005
2001,NV,totrev,millions of us dollars (USD),6643.897
2001,NH,totrev,millions of us dollars (USD),4574.828
2001,NJ,totrev,millions of us dollars (USD),42788.178
2001,NM,totrev,millions of us dollars (USD),9099.224
2001,NY,totrev,millions of us dollars (USD),112438.57
2001,NC,totrev,millions of us dollars (USD),32202.748
2001,ND,totrev,millions of us dollars (USD),3373.244
2001,OH,totrev,millions of us dollars (USD),52802.649
2001,OK,totrev,millions of us dollars (USD),12745.926
2001,OR,totrev,millions of us dollars (USD),18218.617000000002
