yr,va,j,value
1998,surplus,art,15.936456350425887
1998,surplus,mov,27.839325159697076
1998,surplus,fpd,8.070261868867473
1998,surplus,slg,79.74218394637944
1998,surplus,pri,5.576314338992939
1998,surplus,grd,6.1600677980382805
1998,surplus,pip,5.229206433232514
1998,surplus,sle,31.59857477772711
1998,surplus,osv,84.59133034736224
1998,surplus,trn,5.67649360865849
1998,surplus,smn,3.5356855157132903
1998,surplus,fmt,35.585508788998
1998,surplus,pet,37.56260905053354
1998,surplus,mvt,31.80046218140634
1998,surplus,cep,69.32864269377893
1998,surplus,wst,7.573344957733103
1998,surplus,mot,50.52327851141087
1998,surplus,adm,40.30810674301288
1998,surplus,soc,7.656196229671783
1998,surplus,alt,5.280153381241772
1998,surplus,pmt,15.003473875356363
1998,surplus,trk,29.362114644401196
1998,surplus,fdd,102.11807219463667
1998,surplus,gmt,12.444591535775311
1998,surplus,wtt,2.8220226202153977
1998,surplus,wpd,6.444095572009365
1998,surplus,wht,145.2819145884018
1998,surplus,wrh,6.029833178482942
1998,surplus,ott,82.34565588857228
1998,surplus,che,109.34503721304065
1998,surplus,air,11.799177104447361
1998,surplus,mmf,20.22166792172979
1998,surplus,otr,14.450733932944066
1998,surplus,min,11.901405549381913
1998,compen,ppd,32.590858836476585
1998,compen,res,108.11521735962516
1998,compen,com,78.55878380737101
1998,compen,amb,197.1416852763331
1998,compen,fbp,66.21767373361396
1998,compen,rec,24.333839680051575
1998,compen,con,254.09666311950548
1998,compen,agr,18.039082788192495
1998,compen,eec,28.13124660120375
1998,compen,fnd,75.66074869578978
1998,compen,pub,61.157350859417846
1998,compen,hou,9.396771788115561
1998,compen,fbt,61.21797844609294
1998,compen,ins,122.148804782106
1998,compen,tex,20.579326862447278
1998,compen,leg,65.68426692337742
1998,compen,fen,48.770581803308396
1998,compen,uti,43.13533027478129
1998,compen,nmp,23.3185586162557
1998,compen,brd,86.79667320746037
1998,compen,bnk,123.9050406317335
1998,compen,ore,37.53712706967596
1998,compen,edu,64.55362955352973
1998,compen,ote,49.993310830600244
1998,compen,man,118.84115388176532
1998,compen,mch,74.8023755661343
1998,compen,dat,23.86164126249454
1998,compen,amd,41.92628039376798
1998,compen,oil,12.307660860246743
1998,compen,hos,148.09791973247087
1998,compen,rnt,20.918633879548384
1998,compen,pla,36.640612558590306
1998,compen,fof,9.661067447121896
1998,compen,fin,0.9497752803572391
1998,compen,tsv,223.710890060621
1998,compen,nrs,56.17843154182046
1998,compen,sec,107.14151642699679
1998,compen,art,21.59333216610322
1998,compen,mov,19.24356547035079
1998,compen,fpd,21.141182551847837
1998,compen,slg,645.1849459744582
1998,compen,pri,33.38496038795477
1998,compen,grd,9.209101355732683
1998,compen,pip,3.56009811080833
1998,compen,sle,48.060227481780515
1998,compen,osv,153.09642081520488
1998,compen,trn,15.899994213251855
1998,compen,smn,9.690852821787292
1998,compen,fmt,74.45254830963117
1998,compen,pet,10.591600170701962
1998,compen,mvt,69.11546685527502
1998,compen,cep,118.07779099554678
1998,compen,wst,12.877020278470557
1998,compen,mot,71.22543670915304
1998,compen,adm,164.87028847355762
1998,compen,soc,34.580303085005845
1998,compen,alt,17.62329189799547
1998,compen,pmt,36.59668293982824
1998,compen,trk,51.733295886264486
1998,compen,fdd,113.50756186863735
1998,compen,gmt,48.904314732404266
1998,compen,wtt,3.1355806890772646
1998,compen,wpd,20.345797039165493
1998,compen,wht,286.5029175212414
1998,compen,wrh,18.31389789141225
1998,compen,ott,179.87118279374715
1998,compen,che,66.7422339049989
1998,compen,air,36.125768547731006
1998,compen,mmf,33.9340230408548
1998,compen,otr,43.71562862089442
1998,compen,min,14.001770697316271
1999,surplus,ppd,25.50521718235862
1999,surplus,res,38.69303546687062
1999,surplus,com,6.798136054102422
1999,surplus,amb,59.92272507983976
1999,surplus,fbp,76.4490608261482
1999,surplus,rec,15.04333632258764
1999,surplus,con,134.62154109816152
1999,surplus,agr,65.57303957232679
1999,surplus,eec,14.261087880315763
1999,surplus,fnd,54.314309882512
1999,surplus,pub,66.52148185638988
1999,surplus,hou,749.9059444977282
1999,surplus,fbt,24.015204234717768
1999,surplus,ins,93.0755523467381
1999,surplus,tex,7.143271105630174
1999,surplus,leg,46.900246790263466
1999,surplus,fen,12.098176201494834
1999,surplus,uti,99.23103717135994
1999,surplus,nmp,17.640618176292875
1999,surplus,brd,128.08056825052566
1999,surplus,bnk,164.6106013193366
1999,surplus,ore,119.51483810276076
1999,surplus,edu,14.321740899196373
1999,surplus,ote,21.518714983123555
1999,surplus,man,16.458118088979578
1999,surplus,mch,32.603766214770324
1999,surplus,dat,13.676188395415227
1999,surplus,amd,25.275568755587987
1999,surplus,oil,23.413693782655876
1999,surplus,hos,22.38784649232621
