yr,i,j,value
1997,ppd,ppd,39.768755853274605
1997,ppd,res,1.7173917409310184
1997,ppd,com,0.11887627096875135
1997,ppd,amb,1.1868165134885629
1997,ppd,fbp,20.017806225538436
1997,ppd,rec,0.12303173120899212
1997,ppd,con,3.0472572840260184
1997,ppd,agr,0.19130920764249887
1997,ppd,eec,1.2662945453960666
1997,ppd,fnd,1.3981475026658419
1997,ppd,pub,6.133884728141409
1997,ppd,fbt,0.9965917746370702
1997,ppd,ins,0.11279324984068463
1997,ppd,tex,0.9344849474098611
1997,ppd,leg,0.5946816399049504
1997,ppd,fen,0.02501338434940107
1997,ppd,nmp,2.0291854029491256
1997,ppd,brd,0.30498354757968715
1997,ppd,bnk,1.1352285039053038
1997,ppd,ore,0.18576011928627353
1997,ppd,edu,0.07704286908917653
1997,ppd,ote,0.4787159541116947
1997,ppd,man,0.16887888085798825
1997,ppd,mch,2.6473695952585006
1997,ppd,dat,0.11410029042014323
1997,ppd,amd,1.337685527185699
1997,ppd,oil,0.016888436973010727
1997,ppd,hos,1.7855985126189389
1997,ppd,rnt,0.19653560746101756
1997,ppd,pla,3.9726484051207276
1997,ppd,fof,0.0009919223044235956
1997,ppd,fin,0.009019161710366706
1997,ppd,tsv,1.1222409174330588
1997,ppd,nrs,1.3748694192778006
1997,ppd,sec,0.23863774734815393
1997,ppd,art,0.029986834277365062
1997,ppd,mov,0.13567753590085618
1997,ppd,fpd,0.9810782211454607
1997,ppd,slg,8.889317985127812
1997,ppd,pri,21.448122155315353
1997,ppd,grd,0.25103561135551744
1997,ppd,pip,0.09685646279100368
1997,ppd,sle,0.021913783103250015
1997,ppd,osv,0.6678971519970814
1997,ppd,trn,0.03694302365153457
1997,ppd,smn,0.015114239931297995
1997,ppd,fmt,1.6099827777870481
1997,ppd,pet,0.10399449695610516
1997,ppd,mvt,0.13638909562063095
1997,ppd,cep,2.437178689341367
1997,ppd,wst,0.14158088933884944
1997,ppd,mot,1.6546755627481948
1997,ppd,adm,2.2859106385506833
1997,ppd,soc,0.3374254869420244
1997,ppd,alt,0.2762407680253506
1997,ppd,pmt,1.1691091299775573
1997,ppd,trk,0.08963340268554205
1997,ppd,fdd,0.08259869928444696
1997,ppd,gmt,0.21682276130802997
1997,ppd,wtt,0.009307212475657632
1997,ppd,wpd,0.3905138786634821
1997,ppd,wht,2.7474097543263123
1997,ppd,wrh,0.07155775817034021
1997,ppd,ott,1.200635730592614
1997,ppd,che,5.776556333277035
1997,ppd,air,0.031281501490465276
1997,ppd,mmf,2.4796919353650484
1997,ppd,otr,1.0949776974267855
1997,ppd,min,0.13565223274609603
