yr,m,i,value
1997,trn,ppd,6.935311095976911
1997,trn,res,3.729422502036217e-12
1997,trn,com,3.728688013185894e-12
1997,trn,amb,3.733787377491981e-12
1997,trn,fbp,10.482115679276676
1997,trn,rec,3.74355938847206e-12
1997,trn,con,3.732117439749115e-12
1997,trn,agr,21.62083787332227
1997,trn,eec,3.508923718257792
1997,trn,fnd,3.736763136415115e-12
1997,trn,pub,2.6216328536971565
1997,trn,hou,3.7324972674338865e-12
1997,trn,ins,3.725200144168964e-12
1997,trn,tex,3.0774734832628705
1997,trn,leg,3.712082664261529e-12
1997,trn,fen,3.6964552449933454e-12
1997,trn,uti,3.720715673801727e-12
1997,trn,nmp,9.681548355302834
1997,trn,brd,3.7254765390396865e-12
1997,trn,bnk,3.726640108632669e-12
1997,trn,ore,3.727189526068874e-12
1997,trn,edu,3.733387315819232e-12
1997,trn,ote,1.5015385363978555
1997,trn,man,3.719178880657366e-12
1997,trn,mch,5.612051753438515
1997,trn,dat,3.690978970663101e-12
1997,trn,amd,3.72754590428798e-12
1997,trn,oil,24.648255749059018
1997,trn,hos,3.731530344506392e-12
1997,trn,rnt,3.714468538640938e-12
1997,trn,pla,3.547404020662181
1997,trn,fof,2.0947087560766446
1997,trn,fin,3.7419394135712225e-12
1997,trn,tsv,3.712002706177826e-12
1997,trn,nrs,3.744271629149407e-12
1997,trn,sec,3.725316827817962e-12
1997,trn,art,3.720432894763652e-12
1997,trn,mov,0.14902168888007453
1997,trn,fpd,8.621508135363827
1997,trn,slg,3.73420249333303e-12
1997,trn,pri,2.5165078495272324
1997,trn,grd,3.726755229734594e-12
1997,trn,pip,3.764761728927838e-12
1997,trn,sle,3.728861701867485e-12
1997,trn,osv,3.728038875451992e-12
1997,trn,trn,3.694745630503385e-12
1997,trn,smn,3.7556291710750374e-12
1997,trn,fmt,4.35669054138614
1997,trn,pet,8.796004383914358
1997,trn,cep,6.796517205623703
1997,trn,wst,3.713340907615004e-12
1997,trn,mot,8.686513398044115
1997,trn,adm,3.727012107928203e-12
1997,trn,soc,3.74699842909777e-12
1997,trn,alt,4.977168913111282
1997,trn,pmt,6.028755907942026
1997,trn,trk,3.712024905743188e-12
1997,trn,fdd,3.735360235631537e-12
1997,trn,wtt,3.705468739872294e-12
1997,trn,wpd,4.715145905830624
1997,trn,wht,3.717769564164487e-12
1997,trn,wrh,3.6996062032857775e-12
1997,trn,ott,3.713455036088304e-12
1997,trn,che,16.852260800734573
1997,trn,air,3.718558274934333e-12
1997,trn,mmf,9.298047657486707
1997,trn,otr,3.717863675175398e-12
1997,trn,min,16.600711213064173
1997,trd,ppd,22.118154527243576
1997,trd,res,3.71139996649258e-12
1997,trd,com,3.710653847321027e-12
1997,trd,amb,3.715733927112199e-12
1997,trd,fbp,198.8532135280858
1997,trd,rec,3.725451319768574e-12
1997,trd,con,3.714069255691837e-12
1997,trd,agr,38.06704378328297
1997,trd,eec,35.28317852065413
1997,trd,fnd,3.718682048719248e-12
1997,trd,pub,27.405874107733357
1997,trd,hou,3.714444399633688e-12
